language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s6226196,+,-,+,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
I1,s786566,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I1,s862486,-,-,-,+,+,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,+,+,-
I1,s5833094,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I1,s4784400,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-
I1,s459540,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-
I1,s986256,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,-,-,+,-,-,-,-
I1,s5111844,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-
I2,s6620422,+,+,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
I2,s7143556,+,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I2,s4401158,+,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-
I2,s4998406,+,-,-,+,+,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-
I2,s1114374,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I2,s1051524,-,-,+,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-
I2,s6825846,+,+,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,+,+,-,+,+,-
I2,s4262916,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-
I3,s4276804,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,-
I3,s4981766,+,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
I3,s4456710,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I3,s4262404,+,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-
I3,s262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I3,s1311620,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-
I3,s6817926,+,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-
I3,s592134,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-
