language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s4900547,+,-,-,+,-,+,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,+,+
I1,s3851469,-,+,+,+,-,+,-,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,+
I1,s657219,-,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,+
I1,s4883915,+,-,-,+,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,+,-,+,+
I1,s8291525,+,+,+,+,+,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,+,-,+
I1,s6964705,+,+,-,+,-,+,-,-,+,-,-,-,+,-,+,+,+,+,-,-,-,-,+
I1,s4883657,+,-,-,+,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+
I1,s2821315,-,+,-,+,-,+,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,+,+
I2,s6347640,+,+,-,-,-,-,-,+,+,-,+,+,-,+,+,-,+,+,+,+,-,-,-
I2,s2186105,-,+,-,-,-,-,+,-,+,-,+,+,-,+,+,-,+,+,+,+,-,-,+
I2,s2218298,-,+,-,-,-,-,+,+,+,-,+,+,-,-,+,-,-,+,+,+,-,+,-
I2,s6380409,+,+,-,-,-,-,+,-,+,-,+,+,-,+,+,-,+,+,+,+,-,-,+
I2,s6642556,+,+,-,-,+,-,+,-,+,-,+,+,-,+,+,-,+,+,+,+,+,-,-
I2,s6574969,+,+,-,-,+,-,-,-,+,-,+,-,-,+,+,-,+,+,+,+,-,-,+
I2,s6478619,+,+,-,-,-,+,-,+,+,-,+,+,-,+,+,-,-,-,+,+,-,+,+
I2,s2226536,-,+,-,-,-,-,+,+,+,+,+,+,-,-,+,-,+,+,-,+,-,-,-
I3,s5636192,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-
I3,s3545696,-,+,+,-,+,+,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,-,-
I3,s7831651,+,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+
I3,s7767138,+,+,+,-,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-,-,-,+,-
I3,s7733473,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+
I3,s1704034,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-
I3,s7767556,+,+,+,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-
I3,s1512160,-,-,+,-,+,+,+,-,-,-,+,-,-,+,-,+,+,+,-,-,-,-,-
I4,s3892324,-,+,+,+,-,+,+,-,+,+,-,-,+,-,-,-,+,+,-,-,+,-,-
I4,s5331014,+,-,+,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-,-,-,+,+,-
I4,s3762500,-,+,+,+,-,-,+,-,+,+,-,+,-,-,+,-,+,-,-,-,+,-,-
I4,s2043968,-,-,+,+,+,+,+,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-
I4,s7362772,+,+,+,-,-,-,-,-,+,-,+,+,-,-,-,+,+,-,+,-,+,-,-
I4,s5274086,+,-,+,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,-,-,+,+,-
I4,s5779586,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-
I4,s1056998,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,+,+,-
I4,s7346276,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,+,-,-
I5,s5907628,+,-,+,+,-,+,-,-,-,+,-,-,+,-,-,+,-,+,-,+,+,-,-
I5,s3240365,-,+,+,-,-,-,+,-,+,+,+,-,-,-,+,+,-,+,-,+,+,-,+
I5,s4269231,+,-,-,-,-,-,+,-,-,+,-,-,+,-,-,+,-,+,-,+,+,+,+
I5,s6860175,+,+,-,+,-,-,-,+,-,+,-,+,+,-,+,+,-,-,-,+,+,+,+
I5,s5891246,+,-,+,+,-,-,+,+,+,+,-,-,+,-,-,+,-,+,-,+,+,+,-
I5,s5317805,+,-,+,-,-,-,+,-,-,+,-,-,+,-,-,+,-,+,-,+,+,-,+
I5,s1771053,-,-,+,+,-,+,+,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,+
I5,s4661932,+,-,-,-,+,+,+,-,-,+,-,-,-,+,-,+,-,+,-,+,+,-,-
I5,s1012269,-,-,-,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,-,+,+,-,+
I6,s6632700,+,+,-,-,+,-,+,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,-
I6,s6534460,+,+,-,-,-,+,+,+,-,+,+,-,+,-,+,-,-,+,+,+,+,-,-
I6,s472045,-,-,-,-,+,+,+,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+
I6,s2470844,-,+,-,-,+,-,+,+,-,+,+,-,-,+,+,+,-,+,+,+,+,-,-
I6,s4666364,+,-,-,-,+,+,+,-,-,+,+,-,-,+,+,+,+,+,+,+,+,-,-
I6,s5054716,+,-,-,+,+,-,+,-,-,+,-,-,-,-,-,+,+,+,+,+,+,-,-
I6,s4924028,+,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,+,+,-,-
I6,s484924,-,-,-,-,+,+,+,-,+,+,-,-,+,+,-,-,-,+,+,+,+,-,-
I6,s6761080,+,+,-,-,+,+,+,-,-,+,-,+,-,+,-,-,+,+,+,+,-,-,-
I7,s4184146,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,+,-,+,-,-,+,-
I7,s3393939,-,+,+,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,+,-,-,+,+
I7,s4185495,-,+,+,+,+,+,+,+,+,-,+,+,+,-,+,+,-,-,+,-,+,+,+
I7,s4184467,-,+,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,-,+,-,-,+,+
I7,s1824147,-,-,+,+,-,+,+,+,+,-,+,-,+,-,+,+,-,-,+,-,-,+,+
I7,s1431827,-,-,+,-,+,-,+,+,+,-,+,+,-,-,+,-,-,-,+,-,-,+,+
I7,s1560721,-,-,+,-,+,+,+,+,+,-,+,-,-,-,-,+,-,-,+,-,-,-,+
I7,s4183699,-,+,+,+,+,+,+,+,+,-,+,-,+,+,-,+,-,-,+,-,-,+,+
I7,s1428755,-,-,+,-,+,-,+,+,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+
I8,s5192046,+,-,-,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,+,+,+,-
I8,s2318151,-,+,-,-,-,+,+,-,+,-,+,+,+,+,+,-,+,-,-,-,+,+,+
I8,s6010698,+,-,+,+,-,+,+,+,-,+,+,-,+,+,+,-,+,-,-,+,-,+,-
I8,s8335983,+,+,+,+,+,+,+,-,-,+,+,-,-,+,-,-,+,+,-,+,+,+,+
I8,s4012911,-,+,+,+,+,-,+,-,-,+,+,+,-,+,+,-,+,+,-,+,+,+,+
I8,s7269216,+,+,-,+,+,+,-,+,+,+,-,+,-,+,+,-,+,+,-,-,-,-,-
I8,s3095266,-,+,-,+,+,+,+,-,-,+,+,+,-,+,-,+,+,+,-,-,-,+,-
I8,s3666408,-,+,+,-,+,+,+,+,+,+,+,-,-,-,+,+,+,+,-,+,-,-,-
I8,s6024810,+,-,+,+,-,+,+,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,-
I9,s6234961,+,-,+,+,+,+,+,-,-,+,-,-,-,+,+,-,+,-,+,-,-,-,+
I9,s4171913,-,+,+,+,+,+,+,+,-,+,-,+,-,-,-,+,-,-,-,+,-,-,+
I9,s6759006,+,+,-,-,+,+,+,-,-,+,-,-,-,+,-,-,+,-,+,+,+,+,-
I9,s1033241,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+
I9,s1804890,-,-,+,+,-,+,+,+,-,-,-,+,-,+,-,-,+,-,+,+,-,+,-
I9,s7855696,+,+,+,-,+,+,+,+,+,-,+,+,+,+,-,-,+,-,+,-,-,-,-
I9,s5638377,+,-,+,-,+,+,-,-,-,-,-,+,-,-,-,+,+,+,-,+,-,-,+
I9,s5741147,+,-,+,-,+,+,+,+,-,-,+,+,-,+,-,-,+,-,+,+,-,+,+
I9,s1532249,-,-,+,-,+,+,+,-,+,+,-,-,-,-,+,-,+,-,+,+,-,-,+
I9,s7850619,+,+,+,-,+,+,+,+,+,-,-,+,-,+,-,-,+,+,+,+,-,+,+
I10,s5545649,+,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,-,+,+,-,-,-,+
I10,s1285844,-,-,+,-,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,-,+,-,-
I10,s4900565,+,-,-,+,-,+,-,+,+,-,-,-,+,+,-,+,+,-,+,-,+,-,+
I10,s499633,-,-,-,-,+,+,+,+,-,-,+,+,+,+,+,+,-,+,+,-,-,-,+
I10,s1285776,-,-,+,-,-,+,+,+,-,-,+,+,+,+,-,+,-,-,+,-,-,-,-
I10,s1253073,-,-,+,-,-,+,+,-,-,-,+,+,+,+,-,+,+,-,+,-,-,-,+
I10,s5873333,+,-,+,+,-,-,+,+,-,-,+,+,+,+,-,+,-,+,+,-,+,-,+
I10,s5496768,+,-,+,-,-,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-,-,-,-
I10,s1529553,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,+,+,-,+,-,-,-,+
I10,s4234961,+,-,-,-,-,-,-,+,-,-,+,+,+,+,-,+,+,-,+,-,-,-,+
I11,s6000366,+,-,+,+,-,+,+,+,-,-,-,+,+,+,-,+,+,+,-,+,+,+,-
I11,s656590,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,+,+,+,-
I11,s1283279,-,-,+,-,-,+,+,+,-,-,+,-,+,-,-,+,+,-,-,+,+,+,+
I11,s4736734,+,-,-,+,-,-,-,-,+,-,-,-,+,+,-,+,+,-,+,+,+,+,-
