language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s7340148,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-
I1,s7602288,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-
I1,s3932284,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-
I1,s7864408,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-
I1,s3278104,-,+,+,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-
I1,s3147132,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,+,+,-,-
I1,s3145764,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-
I1,s3145840,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-
I2,s8049920,+,+,+,+,-,+,-,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-
I2,s8057872,+,+,+,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,+,-,-,-,-
I2,s7988252,+,+,+,+,-,-,+,+,+,+,-,-,+,-,-,-,-,-,+,+,+,-,-
I2,s8188944,+,+,+,+,+,-,-,+,+,+,+,-,+,-,-,-,-,-,+,-,-,-,-
I2,s3339285,-,+,+,-,-,+,-,+,+,+,+,-,+,-,-,-,-,-,+,-,+,-,+
I2,s7271813,+,+,-,+,+,+,-,+,+,+,+,-,+,-,+,+,-,-,-,-,+,-,+
I2,s8287512,+,+,+,+,+,+,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,-,-
I2,s8320020,+,+,+,+,+,+,-,+,+,+,+,-,+,-,-,-,-,-,+,-,+,-,-
I3,s2268649,-,+,-,-,-,+,-,+,-,-,+,+,+,-,+,+,+,+,-,+,-,-,+
I3,s2333920,-,+,-,-,-,+,+,+,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-
I3,s2333928,-,+,-,-,-,+,+,+,-,-,+,+,+,-,-,+,+,+,-,+,-,-,-
I3,s2267361,-,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,+,-,-,-,-,+
I3,s2266284,-,+,-,-,-,+,-,+,-,-,+,-,+,-,-,+,-,+,-,+,+,-,-
I3,s6479072,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,+,+,+,-,-,-,-,-
I3,s2153700,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,-,-,+,-,-
I3,s2267360,-,+,-,-,-,+,-,+,-,-,+,+,-,-,-,+,+,+,-,-,-,-,-
I4,s4670833,+,-,-,-,+,+,+,-,+,-,-,-,+,-,+,-,+,+,+,-,-,-,+
I4,s6788576,+,+,-,-,+,+,+,+,-,-,+,-,+,-,+,+,+,+,-,-,-,-,-
I4,s7300193,+,+,-,+,+,+,+,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,+
I4,s5186929,+,-,-,+,+,+,+,-,-,+,-,-,+,-,+,-,+,+,+,-,-,-,+
I4,s4670825,+,-,-,-,+,+,+,-,+,-,-,-,+,-,+,-,+,+,-,+,-,-,+
I4,s5219693,+,-,-,+,+,+,+,+,-,+,-,-,+,-,+,-,+,+,-,+,+,-,+
I4,s7210337,+,+,-,+,+,+,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+
I4,s7321073,+,+,-,+,+,+,+,+,-,+,+,-,+,-,+,+,+,+,+,-,-,-,+
I4,s7325157,+,+,-,+,+,+,+,+,+,-,-,-,+,-,+,+,+,+,-,-,+,-,+
I5,s453065,-,-,-,-,+,+,-,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+
I5,s4645337,+,-,-,-,+,+,-,+,+,+,-,-,-,-,+,+,+,-,+,+,-,-,+
I5,s4600783,+,-,-,-,+,+,-,-,-,+,+,-,-,+,+,+,+,-,-,+,+,+,+
I5,s664015,-,-,-,+,-,+,-,-,-,+,-,-,-,-,+,+,+,-,-,+,+,+,+
I5,s5169610,+,-,-,+,+,+,-,+,+,+,-,-,-,-,+,+,+,-,-,+,-,+,-
I5,s4639695,+,-,-,-,+,+,-,+,+,-,-,+,-,+,+,+,+,-,-,+,+,+,+
I5,s4344779,+,-,-,-,-,+,-,-,+,-,-,+,-,+,+,+,+,-,-,+,-,+,+
I5,s4336587,+,-,-,-,-,+,-,-,-,+,-,+,-,+,+,+,+,-,-,+,-,+,+
I5,s4334539,+,-,-,-,-,+,-,-,-,+,-,-,-,+,+,+,+,-,-,+,-,+,+
I6,s2907324,-,+,-,+,+,-,-,-,+,-,+,+,+,-,-,+,-,+,+,+,+,-,-
I6,s2427996,-,+,-,-,+,-,+,-,-,-,-,+,+,-,-,-,+,-,+,+,+,-,-
I6,s5002330,+,-,-,+,+,-,-,-,+,-,+,-,+,-,-,-,+,-,+,+,-,+,-
I6,s5000285,+,-,-,+,+,-,-,-,+,-,-,+,+,-,-,-,+,-,+,+,+,-,+
I6,s2907198,-,+,-,+,+,-,-,-,+,-,+,+,+,-,-,-,-,+,+,+,+,+,-
I6,s6575770,+,+,-,-,+,-,-,-,+,-,+,-,+,+,-,+,-,-,+,+,-,+,-
I6,s5004313,+,-,-,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-,-,+
I6,s789598,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,+,+,+,+,-
