language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s6280537,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,-,+,-,+,+,-,-,+
I1,s967819,-,-,-,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+
I1,s4057520,-,+,+,+,+,-,+,+,+,+,-,+,-,-,+,+,-,+,+,-,-,-,-
I1,s1786274,-,-,+,+,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-
I1,s5851417,+,-,+,+,-,-,+,-,+,-,-,+,-,-,+,-,-,-,+,+,-,-,+
I1,s508693,-,-,-,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,+,-,+,-,+
I1,s1035473,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,+,-,-,-,+
I1,s5186677,+,-,-,+,+,+,+,-,-,+,-,-,+,-,-,-,+,+,+,-,+,-,+
I2,s7300395,+,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,-,+,-,+,-,+,+
I2,s7328901,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,+,-,-,-,-,+,-,+
I2,s4421686,+,-,-,-,-,+,+,-,+,+,+,+,-,-,-,-,-,+,+,-,+,+,-
I2,s6084071,+,-,+,+,+,-,-,+,+,-,+,-,+,-,+,+,+,+,-,-,+,+,+
I2,s1646900,-,-,+,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-
I2,s1375224,-,-,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-
I2,s6961018,+,+,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,+,-,+,-
I2,s5492236,+,-,+,-,-,+,+,+,+,-,-,+,+,+,-,-,-,-,-,+,+,-,-
I3,s1178205,-,-,+,-,-,-,+,+,+,+,+,+,-,+,-,-,+,-,+,+,+,-,+
I3,s5115134,+,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,-
I3,s4120926,-,+,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,-,+,+,+,+,-
I3,s4586001,+,-,-,-,+,-,+,+,+,+,+,+,-,+,-,-,-,-,+,-,-,-,+
I3,s180639,-,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+
I3,s1992588,-,-,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,-,-,+,+,-,-
I3,s6958734,+,+,-,+,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-,+,+,+,-
I3,s1678610,-,-,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,+,-,-,+,-
I4,s190836,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,-,+,+,+,-,+,-,-
I4,s3479718,-,+,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-
I4,s2288322,-,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,-,-,-,+,-
I4,s4369441,+,-,-,-,-,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,-,-,+
I4,s6222106,+,-,+,+,+,+,-,+,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-
I4,s2759219,-,+,-,+,-,+,-,-,-,-,+,+,-,+,-,-,-,+,+,-,-,+,+
I4,s3434055,-,+,+,-,+,-,-,-,+,+,-,-,+,+,-,-,+,-,-,-,+,+,+
I4,s3195390,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,+,+,+,+,+,+,-
I4,s2143471,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+
I5,s5535459,+,-,+,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,+,+
I5,s7981603,+,+,+,+,-,-,+,+,+,-,-,+,-,+,-,-,-,+,-,-,-,+,+
I5,s2351118,-,+,-,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-
I5,s4015565,-,+,+,+,+,-,+,-,+,-,-,-,+,-,+,+,+,-,-,+,+,-,+
I5,s4890006,+,-,-,+,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,-
I5,s16094,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+,-
I5,s6365877,+,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+,+,-,+,-,+
I5,s4394975,+,-,-,-,-,+,+,-,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+
I5,s5118,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-
I6,s2936868,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,+,-,-
I6,s729547,-,-,-,+,-,+,+,-,-,+,-,-,-,-,+,+,+,-,-,+,-,+,+
I6,s3397676,-,+,+,-,-,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,-,-
I6,s2993474,-,+,-,+,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-,+,-
I6,s7910688,+,+,+,+,-,-,-,+,-,+,+,-,+,-,+,-,-,+,-,-,-,-,-
I6,s6929398,+,+,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,+,-
I6,s5440999,+,-,+,-,-,+,+,-,-,-,-,-,+,-,+,+,+,+,-,-,+,+,+
I6,s6174355,+,-,+,+,+,+,-,-,-,+,+,-,+,+,-,+,-,-,+,-,-,+,+
I6,s4158469,-,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,+
I7,s5302121,+,-,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,+,-,+,-,-,+
I7,s1177974,-,-,+,-,-,-,+,+,+,+,+,+,-,-,+,-,+,+,+,-,+,+,-
I7,s5664872,+,-,+,-,+,+,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-
I7,s6159904,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-
I7,s5859448,+,-,+,+,-,-,+,-,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-
I7,s3576217,-,+,+,-,+,+,-,+,-,-,+,-,-,-,+,+,-,-,+,+,-,-,+
I7,s982243,-,-,-,+,+,+,-,+,+,+,+,+,+,-,-,+,+,+,-,-,-,+,+
I7,s1111525,-,-,+,-,-,-,-,+,+,+,+,-,+,-,+,+,+,+,-,-,+,-,+
I7,s7991842,+,+,+,+,-,-,+,+,+,+,+,-,-,+,-,-,-,+,-,-,-,+,-
I8,s499933,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+
I8,s8054566,+,+,+,+,-,+,-,+,+,+,-,-,+,+,+,-,-,+,-,-,+,+,-
I8,s1942079,-,-,+,+,+,-,+,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+
I8,s788354,-,-,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,+,-
I8,s854294,-,-,-,+,+,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
I8,s2903263,-,+,-,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,+,+,+,+,+
I8,s606115,-,-,-,+,-,-,+,-,-,+,+,+,+,+,+,+,-,+,-,-,-,+,+
I8,s6243904,+,-,+,+,+,+,+,-,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-
I8,s8151035,+,+,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,+,+
I9,s6287876,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,+,-,-
I9,s4462813,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,-,+
I9,s651055,-,-,-,+,-,-,+,+,+,+,-,+,+,+,+,-,-,+,-,+,+,+,+
I9,s8303325,+,+,+,+,+,+,-,+,-,+,+,-,-,+,-,+,+,-,+,+,+,-,+
I9,s6973012,+,+,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,+,-,+,-,-
I9,s2252992,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-
I9,s1364650,-,-,+,-,+,-,-,+,+,-,+,-,-,+,-,+,-,+,-,+,-,+,-
I9,s1920533,-,-,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,+,-,+
I9,s3672501,-,+,+,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+
I9,s6747100,+,+,-,-,+,+,-,+,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-
I10,s2581539,-,+,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,-,+,+
I10,s3153546,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,+,-,+,-
I10,s6212127,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,-,-,-,+,+,+,+,+
I10,s3871219,-,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,+,+,+,-,-,+,+
I10,s5970131,+,-,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,-,-,+,+
I10,s7777712,+,+,+,-,+,+,-,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-
I10,s4222535,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,-,-,+,+,+
I10,s7537003,+,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,+
I10,s2058646,-,-,+,+,+,+,+,-,+,+,-,+,-,-,+,+,-,-,+,-,+,+,-
I10,s622298,-,-,-,+,-,-,+,-,+,+,+,+,+,+,-,+,+,-,+,+,-,+,-
I11,s7833977,+,+,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,+,+,+,-,-,+
I11,s7569855,+,+,+,-,-,+,+,+,-,-,-,-,-,-,+,+,-,+,+,+,+,+,+
I11,s242784,-,-,-,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-
I11,s2484672,-,+,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+,-,-,-,-,-,-
I11,s6057924,+,-,+,+,+,-,-,-,+,+,-,+,+,+,+,+,+,-,-,-,+,-,-
I11,s813141,-,-,-,+,+,-,-,-,+,+,-,+,-,-,-,-,+,-,+,-,+,-,+
I11,s4338061,+,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+
I11,s1684712,-,-,+,+,-,-,+,+,-,+,+,-,+,-,-,+,+,+,-,+,-,-,-
I11,s3516352,-,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-
I11,s1906171,-,-,+,+,+,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,-,+,+
I12,s5550379,+,-,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+
I12,s6971627,+,+,-,+,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,+
I12,s8189546,+,+,+,+,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,+,-,+,-
I12,s1745181,-,-,+,+,-,+,-,+,-,+,-,-,-,-,+,-,-,-,+,+,+,-,+
I12,s607867,-,-,-,+,-,-,+,-,+,-,-,-,+,+,-,-,+,+,+,+,-,+,+
I12,s1534590,-,-,+,-,+,+,+,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,-
I12,s6541622,+,+,-,-,-,+,+,+,+,-,+,-,-,-,+,-,-,+,+,-,+,+,-
I12,s2219042,-,+,-,-,-,-,+,+,+,-,+,+,+,-,-,-,-,+,-,-,-,+,-
I12,s4491289,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,-,+,+,-,-,+
I12,s1907301,-,-,+,+,+,-,+,-,-,-,+,+,-,+,-,-,+,+,-,-,+,-,+
I13,s2235771,-,+,-,-,-,+,-,-,-,-,+,+,+,-,+,-,+,+,+,+,-,+,+
I13,s3296103,-,+,+,-,-,+,-,-,+,-,-,+,-,+,+,-,+,+,-,-,+,+,+
I13,s4842684,+,-,-,+,-,-,+,+,+,+,-,-,+,-,-,+,-,+,+,+,+,-,-
I13,s3589876,-,+,+,-,+,+,-,+,+,-,-,-,+,+,-,+,+,+,+,-,+,-,-
I13,s7215855,+,+,-,+,+,+,-,-,-,-,+,+,-,+,-,+,+,+,-,+,+,+,+
I13,s6579824,+,+,-,-,+,-,-,-,+,+,-,-,+,+,-,-,+,+,+,-,-,-,-
I13,s5503670,+,-,+,-,-,+,+,+,+,+,+,+,-,+,-,+,-,+,+,-,+,+,-
I13,s6359785,+,+,-,-,-,-,+,-,-,-,-,+,-,+,-,+,+,+,-,+,-,-,+
I13,s6803901,+,+,-,-,+,+,+,+,+,-,+,-,-,-,+,+,-,+,+,+,+,-,+
I13,s695340,-,-,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,+,+,-,-
I14,s830115,-,-,-,+,+,-,-,+,-,+,-,+,-,+,-,+,-,+,-,-,-,+,+
I14,s5460718,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,+,+,+,-,+,+,+,-
I14,s6796382,+,+,-,-,+,+,+,+,-,+,+,-,+,-,-,-,+,-,+,+,+,+,-
I14,s7466280,+,+,+,-,-,-,+,+,+,+,-,+,+,-,+,-,-,+,-,+,-,-,-
I14,s3307462,-,+,+,-,-,+,-,-,+,+,+,-,+,+,+,+,+,-,-,-,+,+,-
I14,s3373814,-,+,+,-,-,+,+,-,+,+,+,+,-,+,-,+,+,+,+,-,+,+,-
I14,s1424294,-,-,+,-,+,-,+,+,-,+,+,+,-,+,+,+,-,+,-,-,+,+,-
I14,s1917172,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,+,+,+,+,-,+,-,-
I14,s6061822,+,-,+,+,+,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-
I14,s5600889,+,-,+,-,+,-,+,-,+,+,+,-,+,+,-,-,+,+,+,+,-,-,+
I15,s4057338,-,+,+,+,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-
I15,s5149691,+,-,-,+,+,+,-,+,-,-,+,-,-,+,+,+,+,+,+,+,-,+,+
I15,s7032740,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+,+,-,+,-,-,+,-,-
I15,s6065735,+,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,+,-,-,-,+,+,+
I15,s6733972,+,+,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-
I15,s1973973,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,+,-,+,-,+,-,+
I15,s1730716,-,-,+,+,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-
I15,s1685833,-,-,+,+,-,-,+,+,-,+,+,+,-,-,+,-,+,-,-,+,-,-,+
I15,s6810901,+,+,-,-,+,+,+,+,+,+,-,+,+,-,+,-,-,-,+,-,+,-,+
I15,s3098550,-,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,-,+,+,-,+,+,-
I16,s5163964,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-
I16,s7384267,+,+,+,-,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,+,-,+,+
I16,s7246144,+,+,-,+,+,+,-,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-
I16,s3654537,-,+,+,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,-,+,-,-,+
I16,s2640951,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,+,-,+,+,+
I16,s1584138,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,-,+,-
I16,s5659282,+,-,+,-,+,+,-,-,+,-,+,+,-,+,-,+,-,-,+,-,-,+,-
I16,s3203751,-,+,+,-,-,-,-,+,+,+,-,-,-,+,-,+,-,+,-,-,+,+,+
I16,s3385538,-,+,+,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,-,-,-,+,-
I16,s1883388,-,-,+,+,+,-,-,+,-,+,+,+,+,-,-,+,+,+,+,+,+,-,-
I17,s5794077,+,-,+,+,-,-,-,-,+,+,-,+,-,-,+,-,-,-,+,+,+,-,+
I17,s4035984,-,+,+,+,+,-,+,+,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-
I17,s2339944,-,+,-,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,+,-,-,-
I17,s3808720,-,+,+,+,-,+,-,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-
I17,s1581908,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-
I17,s5908808,+,-,+,+,-,+,-,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,-
I17,s7837296,+,+,+,-,+,+,+,+,-,-,+,-,+,+,-,-,+,+,+,-,-,-,-
I17,s2653339,-,+,-,+,-,-,-,-,+,+,+,+,+,-,-,+,-,-,+,+,-,+,+
I17,s3035208,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-
I17,s815690,-,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,-,+,-,+,-
I18,s549778,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-
I18,s2810919,-,+,-,+,-,+,-,+,+,+,-,-,+,-,-,-,-,+,-,-,+,+,+
I18,s4006486,-,+,+,+,+,-,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,+,-
I18,s1564863,-,-,+,-,+,+,+,+,+,+,-,-,-,-,-,+,-,+,+,+,+,+,+
I18,s7902354,+,+,+,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,-,-,+,-
I18,s6986297,+,+,-,+,-,+,-,+,-,-,+,+,-,+,-,-,-,+,+,+,-,-,+
I18,s407644,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,-,+,-,+,+,+,-,-
I18,s6294145,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,+
I18,s1302372,-,-,+,-,-,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-
I18,s621022,-,-,-,+,-,-,+,-,+,+,+,+,-,-,+,+,+,-,+,+,+,+,-
I19,s6165460,+,-,+,+,+,+,-,-,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-
I19,s691513,-,-,-,+,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,+,-,-,+
I19,s5506691,+,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+
I19,s6116084,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,+,+,+,+,-,+,-,-
I19,s8294488,+,+,+,+,+,+,-,+,-,-,+,-,-,-,-,-,+,-,+,+,-,-,-
I19,s6350591,+,+,-,-,-,-,-,+,+,+,-,-,+,+,-,+,+,+,+,+,+,+,+
I19,s5948158,+,-,+,+,-,+,-,+,+,-,-,-,-,+,-,+,+,+,+,+,+,+,-
I19,s4429484,+,-,-,-,-,+,+,+,-,-,+,-,+,+,-,+,-,+,-,+,+,-,-
I19,s7339513,+,+,-,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,-,+
I19,s2478313,-,+,-,-,+,-,+,+,+,-,+,-,-,-,-,+,+,+,-,+,-,-,+
I19,s7795274,+,+,+,-,+,+,-,+,+,+,+,-,-,+,-,-,+,-,-,+,-,+,-
I20,s340184,-,-,-,-,+,-,+,-,-,+,+,-,-,-,-,+,+,-,+,+,-,-,-
I20,s5453518,+,-,+,-,-,+,+,-,-,+,+,-,+,+,-,+,+,-,-,+,+,+,-
I20,s4850830,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-
I20,s4336604,+,-,-,-,-,+,-,-,-,+,-,+,-,+,+,+,+,-,+,+,+,-,-
I20,s6340074,+,+,-,-,-,-,-,+,-,+,+,+,+,-,+,+,+,+,-,+,-,+,-
I20,s5882642,+,-,+,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,+,-,-,+,-
I20,s3200781,-,+,+,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,-,+,+,-,+
I20,s4207142,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,-,+,+,-
I20,s5263447,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,+,-,+,+,+
I20,s2135562,-,+,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-
I20,s253435,-,-,-,-,-,+,+,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,+
I21,s7296781,+,+,-,+,+,+,+,-,+,-,+,-,+,+,+,-,-,-,-,+,+,-,+
I21,s512305,-,-,-,-,+,+,+,+,+,-,+,-,-,-,+,-,-,+,+,-,-,-,+
I21,s225834,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,-,-,+,-,+,-,+,-
I21,s3610374,-,+,+,-,+,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-
I21,s4888930,+,-,-,+,-,+,-,+,-,-,+,+,-,-,+,-,+,+,-,-,-,+,-
I21,s2593223,-,+,-,-,+,+,+,+,-,-,+,-,-,-,+,+,+,-,-,-,+,+,+
I21,s6209390,+,-,+,+,+,+,-,+,-,+,+,+,+,+,+,-,+,+,-,+,+,+,-
I21,s6374818,+,+,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-,+,-,-,-,+,-
I21,s5411163,+,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,+,-,+,+,-,+,+
I21,s7801319,+,+,+,-,+,+,+,-,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+
I21,s1615626,-,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,+,-
I22,s7819657,+,+,+,-,+,+,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,-,+
I22,s2372030,-,+,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,+,+,-
I22,s3971810,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
I22,s6645060,+,+,-,-,+,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,+,-,-
I22,s1661084,-,-,+,+,-,-,+,-,+,-,+,+,-,-,-,+,-,-,+,+,+,-,-
I22,s2710150,-,+,-,+,-,-,+,-,+,-,+,+,-,+,-,+,-,-,-,-,+,+,-
I22,s4299669,+,-,-,-,-,-,+,+,-,-,+,+,-,+,+,+,-,-,+,-,+,-,+
I22,s3266166,-,+,+,-,-,-,+,+,+,-,+,-,+,+,-,-,+,+,+,-,+,+,-
I22,s1390851,-,-,+,-,+,-,+,-,-,+,+,+,-,-,+,-,-,-,-,-,-,+,+
I22,s3789464,-,+,+,+,-,-,+,+,+,-,+,-,-,+,-,+,-,-,+,+,-,-,-
I22,s5424449,+,-,+,-,-,+,-,+,+,-,-,-,+,-,+,-,+,-,-,-,-,-,+
I23,s897593,-,-,-,+,+,-,+,+,-,+,+,-,-,+,-,-,-,+,+,+,-,-,+
I23,s6106499,+,-,+,+,+,-,+,-,-,+,-,+,+,-,+,+,-,-,-,-,-,+,+
I23,s3176102,-,+,+,-,-,-,-,-,+,+,+,-,+,+,-,+,-,+,-,-,+,+,-
I23,s6743825,+,+,-,-,+,+,-,+,+,+,-,-,+,+,+,-,-,-,+,-,-,-,+
I23,s6200896,+,-,+,+,+,+,-,+,-,-,+,+,+,+,-,-,+,-,-,-,-,-,-
I23,s4551662,+,-,-,-,+,-,+,-,+,+,+,-,-,+,+,+,+,+,-,+,+,+,-
I23,s1101947,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+,+,+,-,+,+
I23,s3832372,-,+,+,+,-,+,-,-,+,+,+,+,-,+,-,-,-,+,+,-,+,-,-
I23,s7539411,+,+,+,-,-,+,+,-,-,-,-,+,-,+,-,+,+,-,+,-,-,+,+
I23,s1559694,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,+,-,-,-,+,+,+,-
I23,s3491683,-,+,+,-,+,-,+,-,+,-,-,-,+,+,+,-,+,+,-,-,-,+,+
I24,s850050,-,-,-,+,+,-,-,+,+,+,+,+,-,-,-,+,-,-,-,-,-,+,-
I24,s99438,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,+,+,-
I24,s2237038,-,+,-,-,-,+,-,-,-,+,-,-,-,+,-,-,+,+,-,+,+,+,-
I24,s2379439,-,+,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,+,+,+
I24,s2728939,-,+,-,+,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-,+,+
I24,s7669064,+,+,+,-,+,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,-
I24,s731442,-,-,-,+,-,+,+,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-
I24,s6234264,+,-,+,+,+,+,+,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-
I24,s7067358,+,+,-,+,-,+,+,+,+,-,+,-,+,+,-,+,+,-,+,+,+,+,-
I24,s1529552,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,+,+,-,+,-,-,-,-
I24,s4572304,+,-,-,-,+,-,+,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,-
I25,s2014549,-,-,+,+,+,+,-,+,-,+,+,+,+,-,+,-,+,-,+,-,+,-,+
I25,s759848,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-
I25,s5604140,+,-,+,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-,-
I25,s7649450,+,+,+,-,+,-,-,+,-,+,+,+,-,-,-,+,-,+,-,+,-,+,-
I25,s5093142,+,-,-,+,+,-,+,+,-,+,+,-,+,+,+,-,-,-,+,-,+,+,-
I25,s8368474,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,+,-,+,+,-,+,-
I25,s1277468,-,-,+,-,-,+,+,-,+,+,+,+,+,+,-,-,-,-,+,+,+,-,-
I25,s376298,-,-,-,-,+,-,+,+,-,+,+,+,+,-,+,+,+,+,-,+,-,+,-
I25,s1407549,-,-,+,-,+,-,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,-,+
I25,s5619219,+,-,+,-,+,-,+,+,-,+,+,+,+,+,-,-,-,-,+,-,-,+,+
I25,s1012685,-,-,-,+,+,+,+,-,+,+,+,-,-,+,+,+,+,-,-,+,+,-,+
I26,s4437384,+,-,-,-,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,-,-,-
