size, nfeat, sum_fnpairs, sum_fbalance
10,4,10,0
10,4,10,2
10,4,10,4
10,4,10,6
10,4,11,2
10,4,11,4
10,4,11,6
10,4,12,0
10,4,12,10
10,4,12,2
10,4,12,4
10,4,12,6
10,4,12,8
10,4,13,10
10,4,13,6
10,4,13,8
10,4,14,10
10,4,14,12
10,4,14,6
10,4,14,8
10,4,15,10
10,4,8,0
10,4,8,4
10,4,9,2
10,5,10,0
10,5,10,10
10,5,10,12
10,5,10,14
10,5,10,16
10,5,10,18
10,5,10,20
10,5,10,22
10,5,10,4
10,5,10,6
10,5,10,8
10,5,11,10
10,5,11,12
10,5,11,14
10,5,11,16
10,5,11,18
10,5,11,20
10,5,11,22
10,5,11,8
10,5,12,12
10,5,12,14
10,5,12,16
10,5,12,18
10,5,12,20
10,5,12,22
10,5,13,16
10,5,13,18
10,5,13,20
10,5,13,22
10,5,13,24
10,5,14,16
10,5,14,18
10,5,14,20
10,5,14,22
10,5,5,10
10,5,5,12
10,5,5,14
10,5,5,16
10,5,5,4
10,5,5,6
10,5,5,8
10,5,6,10
10,5,6,12
10,5,6,14
10,5,6,16
10,5,6,18
10,5,6,2
10,5,6,4
10,5,6,6
10,5,6,8
10,5,7,10
10,5,7,12
10,5,7,14
10,5,7,16
10,5,7,18
10,5,7,2
10,5,7,4
10,5,7,6
10,5,7,8
10,5,8,0
10,5,8,10
10,5,8,12
10,5,8,14
10,5,8,16
10,5,8,18
10,5,8,2
10,5,8,20
10,5,8,4
10,5,8,6
10,5,8,8
10,5,9,10
10,5,9,12
10,5,9,14
10,5,9,16
10,5,9,18
10,5,9,2
10,5,9,20
10,5,9,4
10,5,9,6
10,5,9,8
10,6,10,14
10,6,10,16
10,6,10,18
10,6,10,20
10,6,10,22
10,6,10,24
10,6,10,26
10,6,10,28
10,6,10,30
10,6,10,32
10,6,10,34
10,6,11,18
10,6,11,20
10,6,11,22
10,6,11,24
10,6,11,26
10,6,11,28
10,6,11,30
10,6,11,32
10,6,11,34
10,6,12,24
10,6,12,26
10,6,12,28
10,6,12,30
10,6,12,32
10,6,12,34
10,6,12,36
10,6,6,10
10,6,6,12
10,6,6,14
10,6,6,16
10,6,6,18
10,6,6,20
10,6,6,22
10,6,6,24
10,6,6,26
10,6,6,28
10,6,6,30
10,6,6,6
10,6,6,8
10,6,7,10
10,6,7,12
10,6,7,14
10,6,7,16
10,6,7,18
10,6,7,20
10,6,7,22
10,6,7,24
10,6,7,26
10,6,7,28
10,6,7,30
10,6,7,6
10,6,7,8
10,6,8,10
10,6,8,12
10,6,8,14
10,6,8,16
10,6,8,18
10,6,8,20
10,6,8,22
10,6,8,24
10,6,8,26
10,6,8,28
10,6,8,30
10,6,8,32
10,6,8,8
10,6,9,10
10,6,9,12
10,6,9,14
10,6,9,16
10,6,9,18
10,6,9,20
10,6,9,22
10,6,9,24
10,6,9,26
10,6,9,28
10,6,9,30
10,6,9,32
10,6,9,34
10,7,10,24
10,7,10,26
10,7,10,28
10,7,10,30
10,7,10,32
10,7,10,34
10,7,10,36
10,7,10,38
10,7,10,40
10,7,10,42
10,7,10,44
10,7,10,46
10,7,11,28
10,7,11,30
10,7,11,32
10,7,11,34
10,7,11,36
10,7,11,38
10,7,11,40
10,7,11,42
10,7,11,44
10,7,11,46
10,7,11,48
10,7,7,14
10,7,7,16
10,7,7,18
10,7,7,20
10,7,7,22
10,7,7,24
10,7,7,26
10,7,7,28
10,7,7,30
10,7,7,32
10,7,7,34
10,7,7,36
10,7,7,38
10,7,7,40
10,7,7,42
10,7,7,44
10,7,8,12
10,7,8,14
10,7,8,16
10,7,8,18
10,7,8,20
10,7,8,22
10,7,8,24
10,7,8,26
10,7,8,28
10,7,8,30
10,7,8,32
10,7,8,34
10,7,8,36
10,7,8,38
10,7,8,40
10,7,8,42
10,7,8,44
10,7,9,20
10,7,9,22
10,7,9,24
10,7,9,26
10,7,9,28
10,7,9,30
10,7,9,32
10,7,9,34
10,7,9,36
10,7,9,38
10,7,9,40
10,7,9,42
10,7,9,44
10,7,9,46
10,8,10,34
10,8,10,36
10,8,10,38
10,8,10,40
10,8,10,42
10,8,10,44
10,8,10,46
10,8,10,48
10,8,10,50
10,8,10,52
10,8,10,54
10,8,10,56
10,8,10,58
10,8,10,60
10,8,8,24
10,8,8,26
10,8,8,28
10,8,8,30
10,8,8,32
10,8,8,34
10,8,8,36
10,8,8,38
10,8,8,40
10,8,8,42
10,8,8,44
10,8,8,46
10,8,8,48
10,8,8,50
10,8,8,52
10,8,8,54
10,8,8,56
10,8,8,58
10,8,9,30
10,8,9,32
10,8,9,34
10,8,9,36
10,8,9,38
10,8,9,40
10,8,9,42
10,8,9,44
10,8,9,46
10,8,9,48
10,8,9,50
10,8,9,52
10,8,9,54
10,8,9,56
10,8,9,58
11,4,12,4
11,4,12,6
11,4,13,4
11,4,13,6
11,4,14,4
11,4,14,6
11,4,14,8
11,4,15,4
11,4,15,6
11,4,15,8
11,4,16,10
11,4,16,12
11,4,16,8
11,4,17,10
11,5,10,11
11,5,10,13
11,5,10,15
11,5,10,17
11,5,10,19
11,5,10,21
11,5,10,5
11,5,10,7
11,5,10,9
11,5,11,11
11,5,11,13
11,5,11,15
11,5,11,17
11,5,11,19
11,5,11,21
11,5,11,5
11,5,11,7
11,5,11,9
11,5,12,11
11,5,12,13
11,5,12,15
11,5,12,17
11,5,12,19
11,5,12,21
11,5,12,23
11,5,12,5
11,5,12,7
11,5,12,9
11,5,13,11
11,5,13,13
11,5,13,15
11,5,13,17
11,5,13,19
11,5,13,21
11,5,13,23
11,5,14,15
11,5,14,17
11,5,14,19
11,5,14,21
11,5,14,23
11,5,15,17
11,5,15,19
11,5,15,21
11,5,15,23
11,5,15,25
11,5,16,19
11,5,16,21
11,5,16,23
11,5,5,11
11,5,5,13
11,5,5,15
11,5,5,17
11,5,5,5
11,5,5,7
11,5,5,9
11,5,6,11
11,5,6,13
11,5,6,15
11,5,6,5
11,5,6,7
11,5,6,9
11,5,7,11
11,5,7,13
11,5,7,15
11,5,7,17
11,5,7,19
11,5,7,5
11,5,7,7
11,5,7,9
11,5,8,11
11,5,8,13
11,5,8,15
11,5,8,17
11,5,8,19
11,5,8,5
11,5,8,7
11,5,8,9
11,5,9,11
11,5,9,13
11,5,9,15
11,5,9,17
11,5,9,19
