language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s3050947,-,+,-,+,+,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,+,+
I1,s403833,-,-,-,-,+,+,-,-,-,+,-,+,-,-,+,-,+,+,+,+,-,-,+
I1,s2943563,-,+,-,+,+,-,-,+,+,+,-,+,-,+,-,-,+,-,-,+,-,+,+
I1,s2911699,-,+,-,+,+,-,-,-,+,+,-,+,+,-,+,+,+,-,+,-,-,+,+
I1,s975811,-,-,-,+,+,+,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+
I1,s1436495,-,-,+,-,+,-,+,+,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+
I1,s305603,-,-,-,-,+,-,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,+,+
I1,s979787,-,-,-,+,+,+,-,+,+,+,+,-,-,+,+,-,+,-,-,+,-,+,+
I1,s2541569,-,+,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+
I1,s4598229,+,-,-,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-,+
I1,s4997969,+,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,+
I1,s2538369,-,+,-,-,+,+,-,+,-,+,+,+,-,+,+,+,-,-,-,-,-,-,+
I1,s4155855,-,+,+,+,+,+,+,-,+,+,-,+,-,-,+,+,+,-,-,+,+,+,+
I2,s7055872,+,+,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-
I2,s4813474,+,-,-,+,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,-,+,-
I2,s4947467,+,-,-,+,-,+,+,-,+,+,+,+,+,+,-,-,-,-,-,+,-,+,+
I2,s3107338,-,+,-,+,+,+,+,-,+,+,-,+,-,+,-,-,-,-,-,+,-,+,-
I2,s7305738,+,+,-,+,+,+,+,-,+,+,+,+,-,+,-,-,-,-,-,+,-,+,-
I2,s4999686,+,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+,+,-
I2,s5204520,+,-,-,+,+,+,+,-,+,+,-,+,-,+,-,-,-,+,-,+,-,-,-
I2,s4942338,+,-,-,+,-,+,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,+,-
I2,s4815525,+,-,-,+,-,-,+,-,+,+,+,+,-,+,-,+,-,+,-,-,+,-,+
I2,s7237262,+,+,-,+,+,+,-,-,+,+,-,+,+,+,-,+,-,-,-,+,+,+,-
I2,s2704931,-,+,-,+,-,-,+,-,+,-,-,-,+,+,-,-,-,+,-,-,-,+,+
I2,s5138954,+,-,-,+,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,+,-,+,-
I2,s5142178,+,-,-,+,+,+,-,-,+,+,+,-,+,+,-,+,-,+,-,-,-,+,-
I2,s4940072,+,-,-,+,-,+,+,-,+,+,-,-,-,-,+,-,-,+,-,+,-,-,-
I3,s34107,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,-,+,+
I3,s3512875,-,+,+,-,+,-,+,+,-,-,+,+,-,+,-,-,-,+,-,+,-,+,+
I3,s3458407,-,+,+,-,+,-,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,+
I3,s5610618,+,-,+,-,+,-,+,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-
I3,s5604105,+,-,+,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,+
I3,s5541933,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+
I3,s3641650,-,+,+,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,+,-,-,+,-
I3,s5608313,+,-,+,-,+,-,+,+,-,-,+,-,-,+,+,-,+,+,+,+,-,-,+
I3,s3516455,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,+,-,-,+,+,+
I3,s7624085,+,+,+,-,+,-,-,-,+,-,+,-,+,-,+,+,-,-,+,-,+,-,+
I3,s6669114,+,+,-,-,+,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+,-,+,-
I3,s4622648,+,-,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,+,+,+,-,-,-
I3,s3446396,-,+,+,-,+,-,-,+,-,-,+,-,+,+,-,-,+,+,+,+,+,-,-
I3,s6592831,+,+,-,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+,+,+,+,+,+
I3,s1344303,-,-,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,+,+,+
I4,s4613846,+,-,-,-,+,+,-,-,+,+,-,-,+,+,-,+,+,-,+,-,+,+,-
I4,s5400562,+,-,+,-,-,+,-,-,+,+,-,-,+,+,+,+,+,+,+,-,-,+,-
I4,s4860370,+,-,-,+,-,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,-
I4,s5417920,+,-,+,-,-,+,-,+,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-
I4,s7564019,+,+,+,-,-,+,+,-,+,+,-,+,-,+,-,+,+,+,+,-,-,+,+
I4,s7630983,+,+,+,-,+,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,+,+,+
I4,s7530198,+,+,+,-,-,+,-,+,+,+,-,-,+,+,-,+,+,-,+,-,+,+,-
I4,s6471442,+,+,-,-,-,+,-,+,-,+,+,+,+,+,+,-,-,-,+,-,-,+,-
I4,s4854439,+,-,-,+,-,+,-,-,-,-,+,-,-,+,-,+,-,+,-,-,+,+,+
I4,s5466003,+,-,+,-,-,+,+,-,+,+,-,-,+,+,+,+,-,-,+,-,-,+,+
I4,s4335827,+,-,-,-,-,+,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+
I4,s4861634,+,-,-,+,-,+,-,-,-,+,-,+,+,+,-,+,+,-,-,-,-,+,-
I4,s5658310,+,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,+,-,-,-,+,+,-
I4,s5466358,+,-,+,-,-,+,+,-,+,+,-,+,-,-,-,+,+,+,+,-,+,+,-
I4,s2319762,-,+,-,-,-,+,+,-,+,+,-,-,+,-,+,+,-,-,+,-,-,+,-
I5,s5295656,+,-,+,-,-,-,-,+,+,-,-,+,+,+,-,-,-,+,-,+,-,-,-
I5,s304938,-,-,-,-,+,-,-,+,-,+,-,-,+,+,+,-,-,+,-,+,-,+,-
I5,s3397640,-,+,+,-,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-
I5,s3223849,-,+,+,-,-,-,+,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,+
I5,s1591899,-,-,+,+,-,-,-,-,+,-,-,+,-,+,-,-,+,-,+,+,-,+,+
I5,s3533610,-,+,+,-,+,-,+,+,+,+,-,+,-,+,+,-,-,+,-,+,-,+,-
I5,s7391802,+,+,+,-,-,-,-,+,+,-,-,+,-,+,-,-,-,+,+,+,-,+,-
I5,s7391246,+,+,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-
I5,s6934018,+,+,-,+,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-,-,-,+,-
I5,s2678427,-,+,-,+,-,-,-,+,+,-,+,+,+,+,-,+,-,-,+,+,-,+,+
I5,s6343195,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,+,+,-,+,+
I5,s2193993,-,+,-,-,-,-,+,-,+,+,+,+,-,+,-,-,+,-,-,+,-,-,+
I5,s3169306,-,+,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-
I5,s7461720,+,+,+,-,-,-,+,+,+,-,+,+,-,+,+,-,+,-,+,+,-,-,-
I5,s3785995,-,+,+,+,-,-,+,+,+,-,-,-,+,-,+,-,-,-,-,+,-,+,+
I6,s8377861,+,+,+,+,+,+,+,+,+,-,+,-,+,+,-,-,-,-,-,-,+,-,+
I6,s6512596,+,+,-,-,-,+,+,-,+,-,+,+,+,+,+,+,+,-,+,-,+,-,-
I6,s5986628,+,-,+,+,-,+,+,-,+,-,+,+,-,-,+,-,+,-,-,-,+,-,-
I6,s5707605,+,-,+,-,+,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,+
I6,s2957069,-,+,-,+,+,-,+,-,-,-,+,+,+,+,+,-,-,-,-,+,+,-,+
I6,s2170708,-,+,-,-,-,-,+,-,-,-,+,+,+,+,+,-,+,-,+,-,+,-,-
I6,s6960941,+,+,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,+,-,+,+,-,+
I6,s6993692,+,+,-,+,-,+,-,+,-,+,+,-,+,+,+,-,-,-,+,+,+,-,-
I6,s5444428,+,-,+,-,-,+,+,-,-,-,+,-,-,+,+,-,+,-,-,+,+,-,-
I6,s530332,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,+,-,-,+,+,+,-,-
I6,s6495053,+,+,-,-,-,+,+,-,-,-,+,+,-,+,+,-,+,-,-,+,+,-,+
I6,s3151801,-,+,+,-,-,-,-,-,-,-,+,-,+,+,+,+,-,+,+,+,-,-,+
I6,s2299348,-,+,-,-,-,+,+,-,-,-,+,-,+,-,+,+,+,-,+,-,+,-,-
I6,s2758063,-,+,-,+,-,+,-,-,-,-,+,-,+,-,+,+,-,+,-,+,+,+,+
I6,s23877,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,-,+,-,+
I7,s7216278,+,+,-,+,+,+,-,-,-,-,+,+,+,-,-,+,-,-,+,-,+,+,-
I7,s6601842,+,+,-,-,+,-,-,+,-,+,+,+,+,-,-,-,+,+,+,-,-,+,-
I7,s6724850,+,+,-,-,+,+,-,+,-,-,+,+,+,-,-,+,+,+,+,-,-,+,-
I7,s7380210,+,+,+,-,-,-,-,+,-,-,+,+,+,-,-,+,+,+,+,-,-,+,-
I7,s5468338,+,-,+,-,-,+,+,-,+,+,+,-,-,-,-,+,-,+,+,-,-,+,-
I7,s314546,-,-,-,-,+,-,-,+,+,-,-,+,+,-,-,+,-,+,+,-,-,+,-
I7,s7787774,+,+,+,-,+,+,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,+,-
I7,s2012314,-,-,+,+,+,+,-,+,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-
I7,s5643927,+,-,+,-,+,+,-,-,-,-,+,+,+,+,-,+,-,-,+,-,+,+,+
I7,s3464307,-,+,+,-,+,-,-,+,+,-,+,+,+,-,-,-,+,+,+,-,-,+,+
