language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s129519,-,-,-,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,-,+,+,+,+
I1,s244206,-,-,-,-,-,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-
I1,s260590,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,+,+,-,+,+,+,-
I1,s113135,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,+
I1,s113134,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-
I1,s113133,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+
I1,s244207,-,-,-,-,-,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,+
I1,s113132,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,-
I1,s195055,-,-,-,-,-,+,-,+,+,+,+,+,-,-,+,+,+,+,-,+,+,+,+
I1,s260591,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,+,+,-,+,+,+,+
I1,s113131,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,+,-,+,-,+,+
I1,s244204,-,-,-,-,-,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,-
I1,s260589,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,+,+,-,+,+,-,+
I2,s5206940,+,-,-,+,+,+,+,-,+,+,+,-,-,+,+,+,-,-,+,+,+,-,-
I2,s5202716,+,-,-,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,+,-,-
I2,s1926044,-,-,+,+,+,-,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,-,-
I2,s6251420,+,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,-,-
I2,s6251421,+,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,-,+
I2,s6251422,+,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,+,-
I2,s2056988,-,-,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,+,-,-
I2,s2057116,-,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,-,-
I2,s2057117,-,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,-,+
I2,s6251423,+,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,+,+
I2,s6288284,+,-,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,+,+,-,-
I2,s5071772,+,-,-,+,+,-,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,-,-
I2,s6288285,+,-,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,+,+,-,+
I2,s2057118,-,-,+,+,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,+,+,-
I3,s2190495,-,+,-,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,+,+,+,+,+
I3,s2182303,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,+,+
I3,s2182302,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,+,-
I3,s2186399,-,+,-,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,+,+
I3,s2182301,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,-,+
I3,s2182300,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,-,-
I3,s2186398,-,+,-,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,+,-
I3,s2190494,-,+,-,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,+,+,+,+,-
I3,s2190493,-,+,-,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,+,+,+,-,+
I3,s2194591,-,+,-,-,-,-,+,-,+,+,+,+,+,-,-,+,-,-,+,+,+,+,+
I3,s2182299,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,+,+
I3,s2182298,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,+,-
I3,s2186397,-,+,-,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,-,+
I3,s2186396,-,+,-,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-
I3,s2194590,-,+,-,-,-,-,+,-,+,+,+,+,+,-,-,+,-,-,+,+,+,+,-
I4,s642990,-,-,-,+,-,-,+,+,+,-,-,+,+,+,+,+,-,+,-,+,+,+,-
I4,s647074,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,+,-
I4,s647078,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,+,+,-
I4,s647075,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,+,+
I4,s642854,-,-,-,+,-,-,+,+,+,-,-,+,+,+,+,-,-,+,-,-,+,+,-
I4,s646946,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,-,-,+,-,-,-,+,-
I4,s1691426,-,-,+,+,-,-,+,+,+,-,-,+,+,+,+,-,-,+,-,-,-,+,-
I4,s647082,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,+,-,+,-
I4,s642986,-,-,-,+,-,-,+,+,+,-,-,+,+,+,+,+,-,+,-,+,-,+,-
I4,s647072,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,-,-
I4,s647073,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,-,+
I4,s646950,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-
I4,s647086,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,-
I4,s117666,-,-,-,-,-,-,+,+,+,-,-,+,-,+,+,+,-,+,-,-,-,+,-
I4,s647079,-,-,-,+,-,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,+,+,+
I5,s6772336,+,+,-,-,+,+,+,-,+,-,+,-,+,+,-,-,+,+,+,-,-,-,-
I5,s6952818,+,+,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s7214960,+,+,-,+,+,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,-,-
I5,s6952819,+,+,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,+
I5,s6493936,+,+,-,-,-,+,+,-,-,-,+,-,+,+,-,+,+,+,+,-,-,-,-
I5,s6494066,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s7313266,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s6428530,+,+,-,-,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s7018354,+,+,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s7214962,+,+,-,+,+,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s7214963,+,+,-,+,+,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,+
I5,s6952816,+,+,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,-,-
I5,s6494067,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,+
I5,s6690674,+,+,-,-,+,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-
I5,s6428276,+,+,-,-,-,+,-,-,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-
I6,s2899000,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-
I6,s2894908,-,+,-,+,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-
