language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s6226192,+,-,+,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-
I1,s786562,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-
I1,s4008338,-,+,+,+,+,-,+,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-
I1,s1638534,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I1,s592129,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+
I1,s492308,-,-,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-
I1,s986240,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-
I1,s917541,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+
I1,s5572102,+,-,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
I1,s75392,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-
I1,s852484,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-
I1,s262276,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I1,s4194310,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I2,s2426630,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
I2,s7145606,+,+,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-
I2,s473126,-,-,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-,+,-,-,+,+,-
I2,s1852551,-,-,+,+,+,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,+
I2,s1114374,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I2,s1313700,-,-,+,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,-,-
I2,s6829682,+,+,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,+,+,-,-,+,-
I2,s5310980,+,-,+,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-
I2,s4593670,+,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-
I2,s65844,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-
I2,s1837860,-,-,+,+,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,-,-
I2,s6101030,+,-,+,+,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-
I2,s4198919,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,+,+
I2,s2949254,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I3,s1137220,-,-,+,-,-,-,+,-,+,-,+,+,-,+,-,-,+,-,-,-,+,-,-
I3,s4983942,+,-,-,+,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,+,-
I3,s3407878,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I3,s4528640,+,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-
I3,s262535,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+
I3,s1311620,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-
I3,s6818438,+,+,-,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,+,-
I3,s592130,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-
I3,s1575590,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,+,+,-
I3,s265990,-,-,-,-,+,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,+,+,-
I3,s3409826,-,+,+,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,+,-
I3,s656932,-,-,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-
I3,s262422,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
I3,s1312740,-,-,+,-,+,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,+,-,-
I3,s264455,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,+
I4,s35156,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,+,-,-
I4,s3480198,-,+,+,-,+,-,+,-,-,-,+,+,-,+,-,+,-,-,-,-,+,+,-
I4,s2099846,-,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,+,-
I4,s4590594,+,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-
I4,s4980998,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I4,s530947,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,+
I4,s2360838,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
I4,s1048998,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,-
I4,s167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+
I4,s2966018,-,+,-,+,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-
I4,s2048934,-,-,+,+,+,+,+,-,+,-,-,-,-,+,+,+,-,+,-,-,+,+,-
I4,s6558118,+,+,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,+,-,-,+,+,-
I4,s4457606,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-
