language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s6280537,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,-,+,-,+,+,-,-,+
I1,s967819,-,-,-,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+
I1,s4057520,-,+,+,+,+,-,+,+,+,+,-,+,-,-,+,+,-,+,+,-,-,-,-
I1,s1786274,-,-,+,+,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-
I1,s5851417,+,-,+,+,-,-,+,-,+,-,-,+,-,-,+,-,-,-,+,+,-,-,+
I1,s508693,-,-,-,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,+,-,+,-,+
I1,s1035473,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,+,-,-,-,+
I1,s5186677,+,-,-,+,+,+,+,-,-,+,-,-,+,-,-,-,+,+,+,-,+,-,+
I1,s5342726,+,-,+,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
I1,s763808,-,-,-,+,-,+,+,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-
I1,s5067365,+,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+
I1,s132596,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,+,+,-,+,-,-
I1,s7389246,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,-
I2,s7300395,+,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,-,+,-,+,-,+,+
I2,s7328901,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,+,-,-,-,-,+,-,+
I2,s4421686,+,-,-,-,-,+,+,-,+,+,+,+,-,-,-,-,-,+,+,-,+,+,-
I2,s6084071,+,-,+,+,+,-,-,+,+,-,+,-,+,-,+,+,+,+,-,-,+,+,+
I2,s1646900,-,-,+,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-
I2,s1375224,-,-,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-
I2,s6961018,+,+,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,+,-,+,-
I2,s5492236,+,-,+,-,-,+,+,+,+,-,-,+,+,+,-,-,-,-,-,+,+,-,-
I2,s5683228,+,-,+,-,+,+,-,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-
I2,s233788,-,-,-,-,-,+,+,+,-,-,+,-,-,-,+,-,-,+,+,+,+,-,-
I2,s1727269,-,-,+,+,-,+,-,-,+,-,+,+,-,+,+,-,-,+,-,-,+,-,+
I2,s6248552,+,-,+,+,+,+,+,-,+,-,+,+,-,-,-,-,+,+,-,+,-,-,-
I2,s4199999,+,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,+,+,+,+,+,+
I2,s4023395,-,+,+,+,+,-,+,-,+,+,-,-,+,-,-,-,+,+,-,-,-,+,+
I3,s1178205,-,-,+,-,-,-,+,+,+,+,+,+,-,+,-,-,+,-,+,+,+,-,+
I3,s5115134,+,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,-
I3,s4120926,-,+,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,-,+,+,+,+,-
I3,s4586001,+,-,-,-,+,-,+,+,+,+,+,+,-,+,-,-,-,-,+,-,-,-,+
I3,s180639,-,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+
I3,s1992588,-,-,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,-,-,+,+,-,-
I3,s6958734,+,+,-,+,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-,+,+,+,-
I3,s1678610,-,-,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,+,-,-,+,-
I3,s1740527,-,-,+,+,-,+,-,+,-,-,-,+,+,+,-,+,+,+,-,+,+,+,+
I3,s1507087,-,-,+,-,+,+,-,+,+,+,+,+,+,+,+,-,-,-,-,+,+,+,+
I3,s3590066,-,+,+,-,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,-,-,+,-
I3,s2774125,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,+,+,-,+,+,-,+
I3,s2892122,-,+,-,+,+,-,-,-,-,+,-,-,-,-,+,-,+,-,+,+,-,+,-
I3,s1058801,-,-,+,-,-,-,-,-,-,+,-,-,+,+,+,+,+,+,+,-,-,-,+
I3,s2247941,-,+,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,+,-,+
I4,s190836,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,-,+,+,+,-,+,-,-
I4,s3479718,-,+,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-
I4,s2288322,-,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,-,-,-,+,-
I4,s4369441,+,-,-,-,-,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,-,-,+
I4,s6222106,+,-,+,+,+,+,-,+,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-
I4,s2759219,-,+,-,+,-,+,-,-,-,-,+,+,-,+,-,-,-,+,+,-,-,+,+
I4,s3434055,-,+,+,-,+,-,-,-,+,+,-,-,+,+,-,-,+,-,-,-,+,+,+
I4,s3195390,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,+,+,+,+,+,+,-
I4,s2143471,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+
I4,s6897675,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+
I4,s2085810,-,-,+,+,+,+,+,+,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-
I4,s7665078,+,+,+,-,+,-,-,+,+,+,+,-,+,-,+,+,-,+,+,-,+,+,-
I4,s4621479,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,+,-,+,-,-,+,+,+
I4,s5876887,+,-,+,+,-,-,+,+,-,+,-,+,+,-,-,+,-,-,+,-,+,+,+
I4,s1641276,-,-,+,+,-,-,+,-,-,-,-,+,-,+,+,-,-,+,+,+,+,-,-
I5,s5535459,+,-,+,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,+,+
I5,s7981603,+,+,+,+,-,-,+,+,+,-,-,+,-,+,-,-,-,+,-,-,-,+,+
I5,s2351118,-,+,-,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-
I5,s4015565,-,+,+,+,+,-,+,-,+,-,-,-,+,-,+,+,+,-,-,+,+,-,+
I5,s4890006,+,-,-,+,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,-
I5,s16094,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+,-
I5,s6365877,+,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+,+,-,+,-,+
I5,s4394975,+,-,-,-,-,+,+,-,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+
I5,s5118,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-
I5,s1197591,-,-,+,-,-,+,-,-,+,-,-,-,+,+,-,-,-,-,+,-,+,+,+
I5,s5273078,+,-,+,-,-,-,-,-,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-
I5,s403207,-,-,-,-,+,+,-,-,-,+,-,-,+,+,+,-,-,-,-,-,+,+,+
I5,s3928006,-,+,+,+,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,-,+,+,-
I5,s5108334,+,-,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-,+,+,+,-
I5,s6456274,+,+,-,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,+,-
I6,s2936868,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,+,-,-
I6,s729547,-,-,-,+,-,+,+,-,-,+,-,-,-,-,+,+,+,-,-,+,-,+,+
I6,s3397676,-,+,+,-,-,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,-,-
I6,s2993474,-,+,-,+,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-,+,-
I6,s7910688,+,+,+,+,-,-,-,+,-,+,+,-,+,-,+,-,-,+,-,-,-,-,-
I6,s6929398,+,+,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,+,-
I6,s5440999,+,-,+,-,-,+,+,-,-,-,-,-,+,-,+,+,+,+,-,-,+,+,+
I6,s6174355,+,-,+,+,+,+,-,-,-,+,+,-,+,+,-,+,-,-,+,-,-,+,+
I6,s4158469,-,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,+
I6,s1423096,-,-,+,-,+,-,+,+,-,+,+,-,+,+,-,+,+,+,+,+,-,-,-
I6,s4399247,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,+,-,-,-,+,+,+,+
I6,s4526513,+,-,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,+,+,-,-,-,+
I6,s1292648,-,-,+,-,-,+,+,+,-,+,+,+,-,-,+,-,+,+,-,+,-,-,-
I6,s8206512,+,+,+,+,+,-,+,-,-,+,+,+,-,-,-,+,-,+,+,-,-,-,-
I6,s1144856,-,-,+,-,-,-,+,-,+,+,+,+,-,-,-,-,-,-,+,+,-,-,-
I7,s5302121,+,-,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,+,-,+,-,-,+
I7,s1177974,-,-,+,-,-,-,+,+,+,+,+,+,-,-,+,-,+,+,+,-,+,+,-
I7,s5664872,+,-,+,-,+,+,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-
I7,s6159904,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-
I7,s5859448,+,-,+,+,-,-,+,-,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-
I7,s3576217,-,+,+,-,+,+,-,+,-,-,+,-,-,-,+,+,-,-,+,+,-,-,+
I7,s982243,-,-,-,+,+,+,-,+,+,+,+,+,+,-,-,+,+,+,-,-,-,+,+
I7,s1111525,-,-,+,-,-,-,-,+,+,+,+,-,+,-,+,+,+,+,-,-,+,-,+
I7,s7991842,+,+,+,+,-,-,+,+,+,+,+,-,-,+,-,-,-,+,-,-,-,+,-
I7,s1214300,-,-,+,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,+,+,-,-
I7,s2697546,-,+,-,+,-,-,+,-,-,+,-,+,-,-,+,-,+,-,-,+,-,+,-
I7,s6384955,+,+,-,-,-,-,+,-,+,+,-,+,+,-,+,-,-,+,+,+,-,+,+
I7,s5548011,+,-,+,-,+,-,-,+,-,+,-,-,+,+,+,+,+,+,-,+,-,+,+
I7,s1771634,-,-,+,+,-,+,+,-,-,-,-,+,-,-,-,-,+,+,+,-,-,+,-
I7,s6198633,+,-,+,+,+,+,-,+,-,-,+,-,+,-,+,-,+,+,-,+,-,-,+
I8,s499933,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+
I8,s8054566,+,+,+,+,-,+,-,+,+,+,-,-,+,+,+,-,-,+,-,-,+,+,-
I8,s1942079,-,-,+,+,+,-,+,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+
I8,s788354,-,-,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,+,-
I8,s854294,-,-,-,+,+,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
I8,s2903263,-,+,-,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,+,+,+,+,+
I8,s606115,-,-,-,+,-,-,+,-,-,+,+,+,+,+,+,+,-,+,-,-,-,+,+
I8,s6243904,+,-,+,+,+,+,+,-,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-
I8,s8151035,+,+,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,+,+
I8,s7342100,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
I8,s3605298,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,-,-,+,+,-,-,+,-
I8,s7780871,+,+,+,-,+,+,-,+,-,+,+,+,-,+,-,-,-,-,-,-,+,+,+
I8,s1916107,-,-,+,+,+,-,+,-,-,+,+,+,+,-,-,+,+,-,-,+,-,+,+
I8,s8345820,+,+,+,+,+,+,+,-,+,-,+,+,-,-,-,+,+,-,+,+,+,-,-
I8,s3516219,-,+,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+,+,+,-,+,+
I9,s6287876,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,+,-,-
I9,s4462813,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,-,+
I9,s651055,-,-,-,+,-,-,+,+,+,+,-,+,+,+,+,-,-,+,-,+,+,+,+
I9,s8303325,+,+,+,+,+,+,-,+,-,+,+,-,-,+,-,+,+,-,+,+,+,-,+
I9,s6973012,+,+,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,+,-,+,-,-
I9,s2252992,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-
I9,s1364650,-,-,+,-,+,-,-,+,+,-,+,-,-,+,-,+,-,+,-,+,-,+,-
I9,s1920533,-,-,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,+,-,+
I9,s3672501,-,+,+,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+
I9,s6747100,+,+,-,-,+,+,-,+,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-
I9,s4848299,+,-,-,+,-,-,+,+,+,+,+,+,-,+,-,+,-,+,-,+,-,+,+
I9,s6747198,+,+,-,-,+,+,-,+,+,+,+,-,+,-,-,-,-,+,+,+,+,+,-
I9,s1170456,-,-,+,-,-,-,+,+,+,-,+,+,+,-,-,-,-,-,+,+,-,-,-
I9,s682834,-,-,-,+,-,+,-,-,+,+,-,+,-,+,+,-,+,-,+,-,-,+,-
I9,s1172467,-,-,+,-,-,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,+,+
I10,s2581539,-,+,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,-,+,+
I10,s3153546,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,+,-,+,-
I10,s6212127,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,-,-,-,+,+,+,+,+
I10,s3871219,-,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,+,+,+,-,-,+,+
I10,s5970131,+,-,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,-,-,+,+
I10,s7777712,+,+,+,-,+,+,-,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-
I10,s4222535,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,-,-,+,+,+
I10,s7537003,+,+,+,-,-,+,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,+
I10,s2058646,-,-,+,+,+,+,+,-,+,+,-,+,-,-,+,+,-,-,+,-,+,+,-
I10,s622298,-,-,-,+,-,-,+,-,+,+,+,+,+,+,-,+,+,-,+,+,-,+,-
I10,s4430634,+,-,-,-,-,+,+,+,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-
I10,s1631751,-,-,+,+,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,+,+
I10,s2780993,-,+,-,+,-,+,-,-,+,+,-,+,+,+,+,-,+,-,-,-,-,-,+
I10,s5359901,+,-,+,-,-,-,+,+,+,-,-,+,-,-,+,-,-,-,+,+,+,-,+
I10,s5877889,+,-,+,+,-,-,+,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+
I11,s7833977,+,+,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,+,+,+,-,-,+
I11,s7569855,+,+,+,-,-,+,+,+,-,-,-,-,-,-,+,+,-,+,+,+,+,+,+
I11,s242784,-,-,-,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-
I11,s2484672,-,+,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+,-,-,-,-,-,-
I11,s6057924,+,-,+,+,+,-,-,-,+,+,-,+,+,+,+,+,+,-,-,-,+,-,-
I11,s813141,-,-,-,+,+,-,-,-,+,+,-,+,-,-,-,-,+,-,+,-,+,-,+
I11,s4338061,+,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+
I11,s1684712,-,-,+,+,-,-,+,+,-,+,+,-,+,-,-,+,+,+,-,+,-,-,-
I11,s3516352,-,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-
I11,s1906171,-,-,+,+,+,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,-,+,+
I11,s8137182,+,+,+,+,+,-,-,-,-,+,-,+,-,-,+,+,+,-,+,+,+,+,-
I11,s2324038,-,+,-,-,-,+,+,-,+,+,+,-,+,+,-,-,+,-,-,-,+,+,-
I11,s3270262,-,+,+,-,-,-,+,+,+,+,-,-,+,+,-,-,+,+,+,-,+,+,-
I11,s5878601,+,-,+,+,-,-,+,+,-,+,+,-,-,+,+,-,+,-,-,+,-,-,+
I11,s4300584,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,-,+,-,+,-,-,-
I12,s5550379,+,-,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+
I12,s6971627,+,+,-,+,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,+
I12,s8189546,+,+,+,+,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,+,-,+,-
I12,s1745181,-,-,+,+,-,+,-,+,-,+,-,-,-,-,+,-,-,-,+,+,+,-,+
I12,s607867,-,-,-,+,-,-,+,-,+,-,-,-,+,+,-,-,+,+,+,+,-,+,+
I12,s1534590,-,-,+,-,+,+,+,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,-
I12,s6541622,+,+,-,-,-,+,+,+,+,-,+,-,-,-,+,-,-,+,+,-,+,+,-
I12,s2219042,-,+,-,-,-,-,+,+,+,-,+,+,+,-,-,-,-,+,-,-,-,+,-
I12,s4491289,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,-,+,+,-,-,+
I12,s1907301,-,-,+,+,+,-,+,-,-,-,+,+,-,+,-,-,+,+,-,-,+,-,+
I12,s2875096,-,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,-,+,+,-,-,-
I12,s8355494,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,+,+,-
I12,s1272785,-,-,+,-,-,+,+,-,+,+,-,+,-,+,+,+,+,-,+,-,-,-,+
I12,s6030226,+,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-
I12,s4578293,+,-,-,-,+,-,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,-,+
I13,s2235771,-,+,-,-,-,+,-,-,-,-,+,+,+,-,+,-,+,+,+,+,-,+,+
I13,s3296103,-,+,+,-,-,+,-,-,+,-,-,+,-,+,+,-,+,+,-,-,+,+,+
I13,s4842684,+,-,-,+,-,-,+,+,+,+,-,-,+,-,-,+,-,+,+,+,+,-,-
I13,s3589876,-,+,+,-,+,+,-,+,+,-,-,-,+,+,-,+,+,+,+,-,+,-,-
I13,s7215855,+,+,-,+,+,+,-,-,-,-,+,+,-,+,-,+,+,+,-,+,+,+,+
I13,s6579824,+,+,-,-,+,-,-,-,+,+,-,-,+,+,-,-,+,+,+,-,-,-,-
I13,s5503670,+,-,+,-,-,+,+,+,+,+,+,+,-,+,-,+,-,+,+,-,+,+,-
I13,s6359785,+,+,-,-,-,-,+,-,-,-,-,+,-,+,-,+,+,+,-,+,-,-,+
I13,s6803901,+,+,-,-,+,+,+,+,+,-,+,-,-,-,+,+,-,+,+,+,+,-,+
I13,s695340,-,-,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,+,+,-,-
I13,s8045343,+,+,+,+,-,+,-,+,+,-,-,-,-,+,+,-,-,-,+,+,+,+,+
I13,s7055568,+,+,-,+,-,+,+,+,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-
I13,s5430258,+,-,+,-,-,+,-,+,+,-,+,+,-,+,+,+,+,+,+,-,-,+,-
I13,s5748835,+,-,+,-,+,+,+,+,-,+,+,+,-,-,-,-,+,+,-,-,-,+,+
I13,s6537081,+,+,-,-,-,+,+,+,-,+,+,+,+,+,+,-,+,+,+,+,-,-,+
I14,s830115,-,-,-,+,+,-,-,+,-,+,-,+,-,+,-,+,-,+,-,-,-,+,+
I14,s5460718,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,+,+,+,-,+,+,+,-
I14,s6796382,+,+,-,-,+,+,+,+,-,+,+,-,+,-,-,-,+,-,+,+,+,+,-
I14,s7466280,+,+,+,-,-,-,+,+,+,+,-,+,+,-,+,-,-,+,-,+,-,-,-
I14,s3307462,-,+,+,-,-,+,-,-,+,+,+,-,+,+,+,+,+,-,-,-,+,+,-
I14,s3373814,-,+,+,-,-,+,+,-,+,+,+,+,-,+,-,+,+,+,+,-,+,+,-
I14,s1424294,-,-,+,-,+,-,+,+,-,+,+,+,-,+,+,+,-,+,-,-,+,+,-
I14,s1917172,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,+,+,+,+,-,+,-,-
I14,s6061822,+,-,+,+,+,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-
I14,s5600889,+,-,+,-,+,-,+,-,+,+,+,-,+,+,-,-,+,+,+,+,-,-,+
I14,s4107600,-,+,+,+,+,+,-,+,-,+,-,+,+,-,+,-,+,-,+,-,-,-,-
I14,s4506359,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,+,+,+,+,-,+,+,+
I14,s5098653,+,-,-,+,+,-,+,+,+,-,-,+,+,-,-,+,-,-,+,+,+,-,+
I14,s2283365,-,+,-,-,-,+,-,+,+,-,+,-,+,+,+,-,+,+,-,-,+,-,+
I14,s446541,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,-,+,-,-,+,+,-,+
I14,s3391770,-,+,+,-,-,+,+,+,+,-,-,-,-,-,+,-,-,-,+,+,-,+,-
I15,s4057338,-,+,+,+,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-
I15,s5149691,+,-,-,+,+,+,-,+,-,-,+,-,-,+,+,+,+,+,+,+,-,+,+
I15,s7032740,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+,+,-,+,-,-,+,-,-
I15,s6065735,+,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,+,-,-,-,+,+,+
I15,s6733972,+,+,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-
I15,s1973973,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,+,-,+,-,+,-,+
I15,s1730716,-,-,+,+,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-
I15,s1685833,-,-,+,+,-,-,+,+,-,+,+,+,-,-,+,-,+,-,-,+,-,-,+
I15,s6810901,+,+,-,-,+,+,+,+,+,+,-,+,+,-,+,-,-,-,+,-,+,-,+
I15,s3098550,-,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,-,+,+,-,+,+,-
I15,s5282963,+,-,+,-,-,-,-,+,-,-,+,+,+,-,-,+,-,-,+,-,-,+,+
I15,s5618065,+,-,+,-,+,-,+,+,-,+,+,+,-,-,+,+,-,-,+,-,-,-,+
I15,s1372502,-,-,+,-,+,-,-,+,+,+,+,-,-,-,+,-,+,-,+,-,+,+,-
I15,s842740,-,-,-,+,+,-,-,+,+,-,+,+,-,+,+,+,+,+,+,-,+,-,-
I15,s110113,-,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-,-,-,-,+
I15,s7546802,+,+,+,-,-,+,+,-,-,+,-,-,+,+,+,+,-,+,+,-,-,+,-
I16,s5163964,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-
I16,s7384267,+,+,+,-,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,+,-,+,+
I16,s7246144,+,+,-,+,+,+,-,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-
I16,s3654537,-,+,+,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,-,+,-,-,+
I16,s2640951,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,+,-,+,+,+
I16,s1584138,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,-,+,-
I16,s5659282,+,-,+,-,+,+,-,-,+,-,+,+,-,+,-,+,-,-,+,-,-,+,-
I16,s3203751,-,+,+,-,-,-,-,+,+,+,-,-,-,+,-,+,-,+,-,-,+,+,+
I16,s3385538,-,+,+,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,-,-,-,+,-
I16,s1883388,-,-,+,+,+,-,-,+,-,+,+,+,+,-,-,+,+,+,+,+,+,-,-
I16,s4742560,+,-,-,+,-,-,-,-,+,-,+,+,+,-,+,+,-,+,-,-,-,-,-
I16,s2680254,-,+,-,+,-,-,-,+,+,+,-,-,+,-,+,+,-,+,+,+,+,+,-
I16,s2010337,-,-,+,+,+,+,-,+,-,+,-,+,+,-,-,+,+,+,-,-,-,-,+
I16,s7305688,+,+,-,+,+,+,+,-,+,+,+,+,-,-,+,+,+,-,+,+,-,-,-
I16,s1342450,-,-,+,-,+,-,-,-,+,+,+,+,-,+,+,+,+,+,+,-,-,+,-
I16,s403145,-,-,-,-,+,+,-,-,-,+,-,-,+,+,-,+,+,-,-,+,-,-,+
I17,s5794077,+,-,+,+,-,-,-,-,+,+,-,+,-,-,+,-,-,-,+,+,+,-,+
I17,s4035984,-,+,+,+,+,-,+,+,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-
I17,s2339944,-,+,-,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,+,-,-,-
I17,s3808720,-,+,+,+,-,+,-,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-
I17,s1581908,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-
I17,s5908808,+,-,+,+,-,+,-,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,-
I17,s7837296,+,+,+,-,+,+,+,+,-,-,+,-,+,+,-,-,+,+,+,-,-,-,-
