language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s6226192,+,-,+,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-
I1,s786562,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-
I1,s4008338,-,+,+,+,+,-,+,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-
I1,s1638534,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I1,s592129,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+
I1,s492308,-,-,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-
I1,s986240,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-
I1,s917541,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+
I1,s5572102,+,-,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
I1,s75392,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-
I1,s852484,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-
I1,s262276,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I1,s4194310,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I1,s4457346,+,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-
I1,s6558465,+,+,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,+
I1,s262272,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
I1,s2951334,-,+,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,+,-,-,+,+,-
I1,s3148452,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,+,-,-
I1,s93186,-,-,-,-,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,-,+,-
I1,s5573126,+,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,+,-
I1,s5769876,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-
I1,s858150,-,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-
I1,s2951174,-,+,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
I1,s5253830,+,-,+,-,-,-,-,-,-,+,-,+,-,+,-,+,+,-,-,-,+,+,-
I1,s1853474,-,-,+,+,+,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,+,-
I1,s2425478,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,+,-
I1,s6619270,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I1,s2359554,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-
I1,s4000404,-,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-
I2,s2426630,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
I2,s7145606,+,+,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-
I2,s473126,-,-,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-,+,-,-,+,+,-
I2,s1852551,-,-,+,+,+,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,+
I2,s1114374,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I2,s1313700,-,-,+,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,-,-
I2,s6829682,+,+,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,+,+,-,-,+,-
I2,s5310980,+,-,+,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-
I2,s4593670,+,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-
I2,s65844,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-
I2,s1837860,-,-,+,+,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,-,-
I2,s6101030,+,-,+,+,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-
I2,s4198919,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,+,+
I2,s2949254,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I2,s867750,-,-,-,+,+,-,+,-,-,+,+,+,+,-,+,+,-,+,-,-,+,+,-
I2,s330114,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-
I2,s4801316,+,-,-,+,-,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,-
I2,s1901060,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-
I2,s4458754,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-
I2,s1051270,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,+,-
I2,s278564,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-
I2,s4457120,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-
I2,s5572738,+,-,+,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-
I2,s4591110,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,-
I2,s7081862,+,+,-,+,+,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,+,-
I2,s4588164,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-
