language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s5833108,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
I1,s524422,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I1,s1638804,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
I1,s1638790,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I1,s4784388,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I1,s197012,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
I1,s589956,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I1,s4784260,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I2,s6881542,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I2,s6881412,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I2,s4259974,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I2,s4736391,+,-,-,+,-,-,-,-,+,-,-,-,+,-,+,+,-,-,-,-,+,+,+
I2,s1638660,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I2,s1048964,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I2,s6816214,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-
I2,s5308420,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I3,s5324996,+,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-
I3,s4718724,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I3,s3211654,-,+,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I3,s4259972,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I3,s65926,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I3,s1573252,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I3,s6815878,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I3,s590086,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I4,s468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
I4,s3211398,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I4,s2097286,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I4,s4259972,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I4,s4718854,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I4,s524422,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I4,s68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-
I4,s390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I5,s5243014,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I5,s5832838,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I5,s65542,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I5,s3735940,-,+,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I5,s4325766,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I5,s134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I5,s6357140,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-
I5,s4260230,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I6,s589828,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I6,s590212,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I6,s2162692,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I6,s2688390,-,+,-,+,-,-,+,-,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-
I6,s5832964,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I6,s6881686,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-
I6,s4261254,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-
I6,s5767303,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+
I7,s4260100,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I7,s5308804,+,-,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I7,s5251268,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-
I7,s5832708,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I7,s5324868,+,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-
I7,s3146116,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I7,s541831,-,-,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,+
I7,s1412,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,-
