language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s1841699,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
I1,s826018,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I1,s3947170,-,+,+,+,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
I1,s1579682,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I1,s1579555,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
I2,s3414562,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I2,s3938978,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I2,s1325730,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
I2,s1842851,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
I2,s1063458,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
I3,s1055394,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I3,s794274,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
I3,s3447330,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I3,s309794,-,-,-,-,+,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
I3,s268963,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I4,s39650,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
I4,s3414690,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I4,s3160738,-,+,+,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
I4,s301731,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I4,s1841698,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I5,s1325731,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,+
I5,s3709602,-,+,+,+,-,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I5,s39458,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I5,s3938979,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I5,s1055394,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I6,s2890274,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I6,s1579683,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I6,s3152418,-,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I6,s2932386,-,+,-,+,+,-,-,+,-,+,+,+,+,+,-,+,-,+,-,-,-,+,-
I6,s1579554,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I7,s1088035,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
I7,s1055394,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I7,s1325602,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
I7,s1874466,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I7,s1055330,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,+,-
I8,s268963,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I8,s3709474,-,+,+,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I8,s1358371,-,-,+,-,+,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,+
I8,s793250,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I8,s793122,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I9,s1841826,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
I9,s268963,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I9,s571939,-,-,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,+
I9,s1841827,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
I9,s3414562,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I10,s2375331,-,+,-,-,+,-,-,-,-,+,+,+,+,+,-,+,-,+,-,-,-,+,+
