"ALTERNATE_NAMES","SEGMENT","anterior","labial","back","high","ATR","lateral","distributed","LONG","spread","low","syllabic","continuant","nasal","sonorant","coronal","tense","constr","vocalic","strident","EXTRA","consonantal","voice","round"
"aaa","ɡ","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","+","-","-","-","-","+","+","-"
"aaa","ɡ͡b","+","+","+","+","0","0","0","-","-","-","-","-","-","-","-","+","-","-","-","-","+","+","-"
"aaa","b","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","+","-","-","-","-","+","+","-"
"aaa","d","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","+","-","-","-","-","+","+","-"
"aaa","k","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","+","-","-","-","-","+","-","-"
"aaa","p","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","+","-","-","-","-","+","-","-"
"aaa","t","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","+","-","-","-","-","+","-","-"
"aaa","k͡p","+","+","+","+","0","0","0","-","-","-","-","-","-","-","-","+","-","-","-","-","+","-","-"
"aar","ɖ","-","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"aar","ɡ","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"aar","b","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"aar","d","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"aar","k","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"aar","t","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","-","-"
"ace","dʒ","-","-","-","+","0","-","+","-","-","-","-","-","-","-","+","0","-","-","+","-","+","+","-"
"ace","ɡ","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"ace","tʃ","-","-","-","+","0","-","+","-","-","-","-","-","-","-","+","0","-","-","+","-","+","-","-"
"ace","b","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"ace","d","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"ace","k","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"ace","p","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"ace","t","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","-","-"
"acf","dʒ","-","-","-","+","0","-","+","-","-","-","-","-","-","-","+","0","-","-","+","-","+","+","-"
"acf","ɡ","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acf","tʃ","-","-","-","+","0","-","+","-","-","-","-","-","-","-","+","0","-","-","+","-","+","-","-"
"acf","b","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acf","d","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"acf","k","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"acf","p","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"acf","t","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","-","-"
"acw","tˠ","+","-","+","+","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","-","-"
"acw","ɡ","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acw","ɟʝ","-","-","-","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acw","dˠ","+","-","+","+","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"acw","b","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acw","d","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"acw","k","-","-","+","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"acw","t","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","-","-"
"acx","kʲ","-","-","-","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"acx","ɡʲ","-","-","-","+","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acx","tˤ","+","-","+","-","0","-","-","-","-","+","-","-","-","-","+","0","-","-","-","-","+","-","-"
"acx","b","+","+","-","-","0","0","+","-","-","-","-","-","-","-","-","0","-","-","-","-","+","+","-"
"acx","d","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","+","-"
"acx","q","-","-","+","-","0","0","0","-","-","-","-","-","-","-","-","0","-","-","-","-","+","-","-"
"acx","t","+","-","-","-","0","-","-","-","-","-","-","-","-","-","+","0","-","-","-","-","+","-","-"
