language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s5833108,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
I1,s524422,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I2,s6881542,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
I2,s6881412,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I3,s5324996,+,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-
I3,s4718724,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I4,s468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
I4,s3211398,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I4,s2097286,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I5,s5243014,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I5,s5832838,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I5,s65542,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I6,s589828,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I6,s590212,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I6,s2162692,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I7,s4260100,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I7,s5308804,+,-,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I7,s5251268,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-
I8,s196740,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I8,s7864580,+,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I8,s1114260,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-
I9,s4800644,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I9,s4194436,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I9,s606342,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I10,s2163846,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-
I10,s134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I10,s4718614,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
I11,s6357444,+,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
I11,s7405958,+,+,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I11,s65540,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I12,s5243270,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I12,s4194436,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I12,s4718596,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I13,s2097558,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-
I13,s3293444,-,+,+,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-
I13,s4784276,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-
I14,s4784262,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I14,s5324934,+,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I14,s4259988,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-
I15,s3735702,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-
I15,s4784534,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-
I15,s6357380,+,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I16,s4735364,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I16,s5243078,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-
I16,s6947140,+,+,-,+,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-
I17,s5783940,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I17,s1638804,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
I17,s2293764,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
I18,s524678,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
I18,s2097286,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I18,s3735558,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I19,s5767556,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
I19,s524564,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
I19,s4194438,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
I20,s65668,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
I20,s4259974,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
