language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s2620323,-,+,-,-,+,+,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,+,+
I1,s519914,-,-,-,-,+,+,+,+,+,+,-,+,+,+,-,+,+,+,-,+,-,+,-
I2,s5342112,+,-,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-
I2,s5828523,+,-,+,+,-,-,-,+,+,+,-,+,+,+,+,+,-,+,-,+,-,+,+
I3,s7101326,+,+,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,-,-,+,+,+,-
I3,s7764762,+,+,+,-,+,+,-,-,+,+,+,+,-,+,+,-,-,-,+,+,-,+,-
I4,s4434309,+,-,-,-,-,+,+,+,-,+,-,+,-,-,+,+,-,-,-,-,+,-,+
I4,s6527045,+,+,-,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,-,+,-,+
I4,s1283861,-,-,+,-,-,+,+,+,-,-,+,-,+,+,+,-,-,-,+,-,+,-,+
I5,s1320153,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,+,-,-,+
I5,s1524237,-,-,+,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+
I5,s1359898,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-
I6,s7628900,+,+,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,+,-,-,+,-,-
I6,s7607109,+,+,+,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,+
I6,s7633749,+,+,+,-,+,-,-,-,+,+,+,+,-,+,+,-,+,-,+,-,+,-,+
I7,s21292,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,+,-,-
I7,s6822452,+,+,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,+,-,+,-,-
I7,s2630708,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,-
I8,s249627,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,-,-,-,+,+,-,+,+
I8,s1427225,-,-,+,-,+,-,+,+,+,-,-,-,+,+,+,-,-,-,+,+,-,-,+
I8,s1420856,-,-,+,-,+,-,+,+,-,+,-,+,+,+,-,-,-,+,+,+,-,-,-
I9,s679178,-,-,-,+,-,+,-,-,+,-,+,+,+,-,+,-,-,-,-,+,-,+,-
I9,s1236748,-,-,+,-,-,+,-,+,+,-,+,+,+,+,+,-,-,-,-,+,+,-,-
I9,s7892842,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,-,+,+,-,+,-,+,-
I10,s566606,-,-,-,+,-,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+,+,-
I10,s3728719,-,+,+,+,-,-,-,+,+,+,-,-,+,-,+,-,+,-,-,+,+,+,+
I10,s7400718,+,+,+,-,-,-,-,+,+,+,-,+,+,-,+,-,-,-,-,+,+,+,-
I11,s1432911,-,-,+,-,+,-,+,+,+,-,+,+,+,-,+,-,+,-,-,+,+,+,+
I11,s1392199,-,-,+,-,+,-,+,-,-,+,+,+,+,+,-,-,+,-,-,-,+,+,+
I11,s3497281,-,+,+,-,+,-,+,-,+,-,+,+,+,-,+,-,+,-,-,-,-,-,+
I12,s943901,-,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,-,-,+,+,+,-,+
I12,s7319069,+,+,-,+,+,+,+,+,-,+,-,+,+,+,-,-,-,-,+,+,+,-,+
I12,s7333406,+,+,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,+,+,+,+,-
I13,s5775032,+,-,+,+,-,-,-,-,-,-,+,+,+,+,-,+,-,+,+,+,-,-,-
I13,s3048592,-,+,-,+,+,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-
I13,s1755793,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,-,+
I14,s368332,-,-,-,-,+,-,+,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,-
I14,s6675587,+,+,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-,-,-,-,-,+,+
I14,s2481341,-,+,-,-,+,-,+,+,+,-,+,+,+,-,-,+,-,+,+,+,+,-,+
I15,s3887856,-,+,+,+,-,+,+,-,+,-,+,-,-,+,-,+,+,+,+,-,-,-,-
I15,s7407210,+,+,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,+,-,+,-
I15,s4522690,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-
I16,s2439241,-,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,-,+,-,-,+
I16,s3423581,-,+,+,-,+,-,-,-,-,+,+,+,+,-,+,-,+,-,+,+,+,-,+
I16,s2307613,-,+,-,-,-,+,+,-,-,+,+,-,+,+,-,-,-,-,+,+,+,-,+
I17,s2794244,-,+,-,+,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-
I17,s2659008,-,+,-,+,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-
I17,s623424,-,-,-,+,-,-,+,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-
I18,s788348,-,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,+,+,+,+,-,-
I18,s1348471,-,-,+,-,+,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+
I18,s2895924,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-
I19,s5551265,+,-,+,-,+,-,-,+,-,+,+,-,+,-,-,+,-,+,-,-,-,-,+
I19,s5727360,+,-,+,-,+,+,+,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-
