language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s1654510,-,-,+,+,-,-,+,-,-,+,+,+,+,+,-,+,+,+,-,+,+,+,-
I1,s3713574,-,+,+,+,-,-,-,+,-,+,-,+,-,+,-,-,-,+,-,-,+,+,-
I2,s7358450,+,+,+,-,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,-,-,+,-
I2,s3687288,-,+,+,+,-,-,-,-,+,-,-,-,-,+,+,-,+,+,+,+,-,-,-
I3,s6706957,+,+,-,-,+,+,-,-,+,-,+,-,+,+,+,-,-,-,-,+,+,-,+
I3,s2493229,-,+,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-,+,-,+,+,-,+
I3,s2547471,-,+,-,-,+,+,-,+,+,-,+,+,+,+,+,-,-,-,-,+,+,+,+
I4,s5208758,+,-,-,+,+,+,+,-,+,+,+,+,-,+,-,+,-,+,+,-,+,+,-
I4,s6979190,+,+,-,+,-,+,-,-,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-
I4,s5200438,+,-,-,+,+,+,+,-,+,-,+,+,-,+,-,-,-,+,+,-,+,+,-
I5,s4886119,+,-,-,+,-,+,-,+,-,-,-,+,+,+,-,-,+,+,-,-,+,+,+
I5,s1714871,-,-,+,+,-,+,-,-,-,+,-,+,-,+,-,+,-,+,+,-,+,+,+
I5,s1574134,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,+,-,+,+,-
I6,s7693160,+,+,+,-,+,-,+,-,+,+,-,-,-,+,+,-,+,+,-,+,-,-,-
I6,s7554165,+,+,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+
I6,s609809,-,-,-,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,+,-,-,-,+
I7,s4868928,+,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,+,-,-,-,-,-,-
I7,s4865096,+,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-
I7,s7998554,+,+,+,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,+,-
I8,s1186848,-,-,+,-,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-
I8,s5778816,+,-,+,+,-,-,-,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-
I8,s1322152,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-
I9,s2239764,-,+,-,-,-,+,-,-,-,+,-,+,+,-,+,-,-,-,+,-,+,-,-
I9,s470320,-,-,-,-,+,+,+,-,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-
I9,s7843110,+,+,+,-,+,+,+,+,-,+,-,+,+,-,+,-,-,+,-,-,+,+,-
I10,s8061633,+,+,+,+,-,+,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,+
I10,s4598601,+,-,-,-,+,+,-,-,-,+,-,+,-,+,+,-,+,-,-,+,-,-,+
I10,s7799491,+,+,+,-,+,+,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,+
I11,s4905467,+,-,-,+,-,+,-,+,+,-,+,+,-,-,+,+,+,+,+,+,-,+,+
I11,s4839520,+,-,-,+,-,-,+,+,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-
I11,s711137,-,-,-,+,-,+,-,+,+,-,+,+,-,-,+,+,+,+,-,-,-,-,+
I12,s6387194,+,+,-,-,-,-,+,-,+,+,+,-,+,-,+,+,+,+,+,+,-,+,-
I12,s3528683,-,+,+,-,+,-,+,+,+,-,+,-,+,+,+,+,+,+,-,+,-,+,+
I12,s3153467,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,+,+
I13,s7491832,+,+,+,-,-,+,-,-,+,-,+,-,-,-,-,+,+,+,+,+,-,-,-
I13,s6502006,+,+,-,-,-,+,+,-,-,+,+,-,+,+,-,-,+,+,+,-,+,+,-
I13,s4216446,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,+,+,+,+,+,+,-
I14,s3031419,-,+,-,+,+,+,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,+,+
I14,s3443066,-,+,+,-,+,-,-,+,-,-,-,+,-,-,+,-,+,+,+,+,-,+,-
I14,s3319898,-,+,+,-,-,+,-,+,-,+,-,+,-,-,-,-,+,-,+,+,-,+,-
I15,s6590813,+,+,-,-,+,-,-,+,-,-,+,-,-,-,+,-,+,-,+,+,+,-,+
I15,s6469140,+,+,-,-,-,+,-,+,-,+,+,-,+,+,-,-,-,-,+,-,+,-,-
I15,s1701069,-,-,+,+,-,-,+,+,+,+,+,-,+,-,-,+,+,-,-,+,+,-,+
I16,s737700,-,-,-,+,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,-
I16,s213308,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-
I16,s2310388,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,+,+,+,+,-,+,-,-
I17,s1034761,-,-,-,+,+,+,+,+,+,-,-,+,-,+,-,-,-,-,-,+,-,-,+
I17,s7065116,+,+,-,+,-,+,+,+,+,-,-,+,+,+,-,-,-,-,+,+,+,-,-
I17,s1035020,-,-,-,+,+,+,+,+,+,-,-,+,-,+,+,-,-,-,-,+,+,-,-
I18,s2641289,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,+,-,-,-,+,-,-,+
I18,s3070201,-,+,-,+,+,+,-,+,+,-,+,+,-,-,-,+,+,+,+,+,-,-,+
I18,s2811357,-,+,-,+,-,+,-,+,+,+,-,-,+,-,+,+,+,-,+,+,+,-,+
I19,s370556,-,-,-,-,+,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+,+,-,-
I19,s3657573,-,+,+,-,+,+,+,+,+,-,-,+,+,+,+,-,+,+,-,-,+,-,+
I19,s470644,-,-,-,-,+,+,+,-,-,+,-,+,+,+,-,-,+,+,+,-,+,-,-
