language,label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
I1,s6280537,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,-,+,-,+,+,-,-,+
I1,s967819,-,-,-,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+
I2,s7300395,+,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,-,+,-,+,-,+,+
I2,s7328901,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,+,-,-,-,-,+,-,+
I3,s1178205,-,-,+,-,-,-,+,+,+,+,+,+,-,+,-,-,+,-,+,+,+,-,+
I3,s5115134,+,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,-
I3,s4120926,-,+,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,-,+,+,+,+,-
I4,s190836,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,-,+,+,+,-,+,-,-
I4,s3479718,-,+,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-
I4,s2288322,-,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,-,-,-,+,-
I5,s5535459,+,-,+,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,+,+
I5,s7981603,+,+,+,+,-,-,+,+,+,-,-,+,-,+,-,-,-,+,-,-,-,+,+
I5,s2351118,-,+,-,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-
I6,s2936868,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,+,-,-
I6,s729547,-,-,-,+,-,+,+,-,-,+,-,-,-,-,+,+,+,-,-,+,-,+,+
I6,s3397676,-,+,+,-,-,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,-,-
I7,s5302121,+,-,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,+,-,+,-,-,+
I7,s1177974,-,-,+,-,-,-,+,+,+,+,+,+,-,-,+,-,+,+,+,-,+,+,-
I7,s5664872,+,-,+,-,+,+,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-
I8,s499933,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+
I8,s8054566,+,+,+,+,-,+,-,+,+,+,-,-,+,+,+,-,-,+,-,-,+,+,-
I8,s1942079,-,-,+,+,+,-,+,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+
I9,s6287876,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,+,-,-
I9,s4462813,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,-,+
I9,s651055,-,-,-,+,-,-,+,+,+,+,-,+,+,+,+,-,-,+,-,+,+,+,+
I10,s2581539,-,+,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,-,+,+
I10,s3153546,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,+,-,+,-
I10,s6212127,+,-,+,+,+,+,-,+,+,-,-,+,-,+,-,-,-,-,+,+,+,+,+
I11,s7833977,+,+,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,+,+,+,-,-,+
I11,s7569855,+,+,+,-,-,+,+,+,-,-,-,-,-,-,+,+,-,+,+,+,+,+,+
I11,s242784,-,-,-,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-
I12,s5550379,+,-,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+
I12,s6971627,+,+,-,+,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,+
I12,s8189546,+,+,+,+,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,+,-,+,-
I13,s2235771,-,+,-,-,-,+,-,-,-,-,+,+,+,-,+,-,+,+,+,+,-,+,+
I13,s3296103,-,+,+,-,-,+,-,-,+,-,-,+,-,+,+,-,+,+,-,-,+,+,+
I13,s4842684,+,-,-,+,-,-,+,+,+,+,-,-,+,-,-,+,-,+,+,+,+,-,-
I14,s830115,-,-,-,+,+,-,-,+,-,+,-,+,-,+,-,+,-,+,-,-,-,+,+
I14,s5460718,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,+,+,+,-,+,+,+,-
I14,s6796382,+,+,-,-,+,+,+,+,-,+,+,-,+,-,-,-,+,-,+,+,+,+,-
I15,s4057338,-,+,+,+,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-
I15,s5149691,+,-,-,+,+,+,-,+,-,-,+,-,-,+,+,+,+,+,+,+,-,+,+
I15,s7032740,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+,+,-,+,-,-,+,-,-
I16,s5163964,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-
I16,s7384267,+,+,+,-,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,+,-,+,+
I16,s7246144,+,+,-,+,+,+,-,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-
I17,s5794077,+,-,+,+,-,-,-,-,+,+,-,+,-,-,+,-,-,-,+,+,+,-,+
I17,s4035984,-,+,+,+,+,-,+,+,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-
I17,s2339944,-,+,-,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,+,-,-,-
I18,s549778,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-
I18,s2810919,-,+,-,+,-,+,-,+,+,+,-,-,+,-,-,-,-,+,-,-,+,+,+
I18,s4006486,-,+,+,+,+,-,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,+,-
I19,s6165460,+,-,+,+,+,+,-,-,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-
I19,s691513,-,-,-,+,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,+,-,-,+
I19,s5506691,+,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+
I20,s340184,-,-,-,-,+,-,+,-,-,+,+,-,-,-,-,+,+,-,+,+,-,-,-
I20,s5453518,+,-,+,-,-,+,+,-,-,+,+,-,+,+,-,+,+,-,-,+,+,+,-
I20,s4850830,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-
I21,s7296781,+,+,-,+,+,+,+,-,+,-,+,-,+,+,+,-,-,-,-,+,+,-,+
I21,s512305,-,-,-,-,+,+,+,+,+,-,+,-,-,-,+,-,-,+,+,-,-,-,+
I21,s225834,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,-,-,+,-,+,-,+,-
I22,s7819657,+,+,+,-,+,+,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,-,+
I22,s2372030,-,+,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,+,+,-
I22,s3971810,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
I23,s897593,-,-,-,+,+,-,+,+,-,+,+,-,-,+,-,-,-,+,+,+,-,-,+
I23,s6106499,+,-,+,+,+,-,+,-,-,+,-,+,+,-,+,+,-,-,-,-,-,+,+
I23,s3176102,-,+,+,-,-,-,-,-,+,+,+,-,+,+,-,+,-,+,-,-,+,+,-
I24,s850050,-,-,-,+,+,-,-,+,+,+,+,+,-,-,-,+,-,-,-,-,-,+,-
I24,s99438,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,+,+,-
I24,s2237038,-,+,-,-,-,+,-,-,-,+,-,-,-,+,-,-,+,+,-,+,+,+,-
I25,s2014549,-,-,+,+,+,+,-,+,-,+,+,+,+,-,+,-,+,-,+,-,+,-,+
I25,s759848,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-
I25,s5604140,+,-,+,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-,-
I26,s4437384,+,-,-,-,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,-,-,-
I26,s4459340,+,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,-,+,+,-,-
I26,s2561476,-,+,-,-,+,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,+,-,-
I27,s4489694,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,+,+,-,+,+,+,+,-
I27,s6981324,+,+,-,+,-,+,-,+,-,-,-,-,+,+,-,+,+,-,-,+,+,-,-
I27,s2370082,-,+,-,-,+,-,-,-,-,+,-,+,-,+,-,-,-,+,-,-,-,+,-
I28,s1644150,-,-,+,+,-,-,+,-,-,-,+,-,+,+,-,-,+,+,+,-,+,+,-
I28,s865385,-,-,-,+,+,-,+,-,-,+,+,-,+,-,-,-,+,+,-,+,-,-,+
I28,s699434,-,-,-,+,-,+,-,+,-,+,-,+,+,-,-,-,-,+,-,+,-,+,-
I29,s3413700,-,+,+,-,+,-,-,-,-,-,+,-,+,+,-,+,+,-,-,-,+,-,-
I29,s2468586,-,+,-,-,+,-,+,+,-,+,-,+,-,+,-,+,+,+,-,+,-,+,-
I29,s1257899,-,-,+,-,-,+,+,-,-,+,+,-,-,-,+,+,-,+,-,+,-,+,+
I30,s2797784,-,+,-,+,-,+,-,+,-,+,+,-,-,-,-,+,+,-,+,+,-,-,-
I30,s5724910,+,-,+,-,+,+,+,-,+,-,+,+,-,+,-,+,+,+,-,+,+,+,-
I30,s1781604,-,-,+,+,-,+,+,-,-,+,-,+,+,+,+,-,+,+,-,-,+,-,-
I31,s4643831,+,-,-,-,+,+,-,+,+,-,+,+,-,+,+,+,+,+,+,-,+,+,+
I31,s1797602,-,-,+,+,-,+,+,-,+,+,-,+,+,-,+,+,+,+,-,-,-,+,-
I31,s8338202,+,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-,-,-,+,+,-,+,-
I32,s2169378,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
I32,s6995052,+,+,-,+,-,+,-,+,-,+,+,+,+,-,-,-,+,+,-,+,+,-,-
I32,s5106038,+,-,-,+,+,-,+,+,+,+,-,+,-,-,+,-,+,+,+,-,+,+,-
I33,s8073018,+,+,+,+,-,+,+,-,-,+,-,+,+,+,+,-,-,+,+,+,-,+,-
I33,s7609782,+,+,+,-,+,-,-,-,-,-,+,+,+,-,+,+,-,+,+,-,+,+,-
I33,s3829498,-,+,+,+,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,-
I34,s5632090,+,-,+,-,+,-,+,+,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-
I34,s5735542,+,-,+,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,-,+,+,-
I34,s2549050,-,+,-,-,+,+,-,+,+,+,-,-,+,-,+,-,-,+,+,+,-,+,-
I35,s8031053,+,+,+,+,-,+,-,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,+
I35,s7411803,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,+,+,-,+,+
I35,s1645717,-,-,+,+,-,-,+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,-,+
I36,s762878,-,-,-,+,-,+,+,+,-,+,-,-,-,+,+,+,+,+,+,+,+,+,-
I36,s6237687,+,-,+,+,+,+,+,-,-,+,-,+,+,-,+,+,+,+,+,-,+,+,+
I36,s5927412,+,-,+,+,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,-,+,-,-
I37,s3228807,-,+,+,-,-,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,+
I37,s5138808,+,-,-,+,+,+,-,-,+,+,-,+,-,-,+,-,+,+,+,+,-,-,-
I37,s2754327,-,+,-,+,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,-,+,+,+
I38,s4324417,+,-,-,-,-,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,+
I38,s298731,-,-,-,-,+,-,-,+,-,-,-,+,+,+,-,+,+,+,-,+,-,+,+
I38,s6256001,+,-,+,+,+,+,+,-,+,+,+,-,+,-,+,+,-,-,-,-,-,-,+
I39,s623140,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-
I39,s6627506,+,+,-,-,+,-,+,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,-
I39,s8207402,+,+,+,+,+,-,+,-,-,+,+,+,+,-,-,-,-,+,-,+,-,+,-
I40,s7209326,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,+,-
I40,s159204,-,-,-,-,-,+,-,-,+,+,-,+,+,-,+,+,+,+,-,-,+,-,-
I40,s4222842,+,-,-,-,-,-,-,-,+,+,-,+,+,+,+,-,+,+,+,+,-,+,-
I41,s7159721,+,+,-,+,+,-,+,-,-,+,+,+,+,+,+,+,-,+,-,+,-,-,+
I41,s8053871,+,+,+,+,-,+,-,+,+,+,-,-,+,-,-,-,+,+,-,+,+,+,+
I41,s1601567,-,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+
I41,s7048387,+,+,-,+,-,+,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,+,+
I42,s4658139,+,-,-,-,+,+,+,-,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+
I42,s6906746,+,+,-,+,-,-,+,-,+,+,-,-,-,+,+,-,+,+,+,+,-,+,-
I42,s4726709,+,-,-,+,-,-,-,-,-,-,+,+,+,+,+,+,-,+,+,-,+,-,+
I42,s1602502,-,-,+,+,-,-,-,-,+,+,+,-,-,+,+,+,+,-,-,-,+,+,-
I43,s6051569,+,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,+,+,+,-,-,-,+
I43,s2859217,-,+,-,+,-,+,+,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,+
I43,s3318191,-,+,+,-,-,+,-,+,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+
I43,s5313000,+,-,+,-,-,-,+,-,-,-,+,-,-,-,+,+,+,+,-,+,-,-,-
I44,s2985739,-,+,-,+,+,-,+,+,-,-,-,+,+,+,+,-,-,-,-,+,-,+,+
I44,s2486608,-,+,-,-,+,-,+,+,+,+,+,-,-,-,+,-,+,-,+,-,-,-,-
I44,s1028052,-,-,-,+,+,+,+,+,-,+,-,+,+,+,+,+,+,-,+,-,+,-,-
I44,s4982508,+,-,-,+,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,+,+,-,-
I45,s2081435,-,-,+,+,+,+,+,+,+,-,-,-,-,+,-,+,-,-,+,+,-,+,+
I45,s7689942,+,+,+,-,+,-,+,-,+,-,+,-,+,+,-,+,+,-,+,-,+,+,-
I45,s3041231,-,+,-,+,+,+,-,-,+,+,-,-,+,+,+,+,+,-,-,+,+,+,+
I45,s6700041,+,+,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,+,-,-,+
I46,s1420503,-,-,+,-,+,-,+,+,-,+,-,+,+,-,-,+,+,-,+,-,+,+,+
I46,s7332651,+,+,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,-,+,-,+,+
I46,s7728443,+,+,+,-,+,-,+,+,+,+,-,+,+,-,+,-,-,+,+,+,-,+,+
I46,s1661239,-,-,+,+,-,-,+,-,+,-,+,+,-,-,+,-,-,+,+,-,+,+,+
I47,s4767450,+,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,+,-
I47,s4284831,+,-,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+
I47,s5462181,+,-,+,-,-,+,+,-,+,-,+,+,-,-,-,+,-,+,-,-,+,-,+
I47,s4424089,+,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,-,-,+,+,-,-,+
I48,s5946751,+,-,+,+,-,+,-,+,-,+,+,+,+,-,+,-,+,+,+,+,+,+,+
I48,s4434595,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,+,-,+,-,-,-,+,+
I48,s4686558,+,-,-,-,+,+,+,+,-,-,-,-,-,+,-,+,+,-,+,+,+,+,-
I48,s4515551,+,-,-,-,+,-,-,+,+,+,-,-,+,+,-,+,+,-,+,+,+,+,+
I49,s6327480,+,+,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,+,+,+,-,-,-
I49,s3637342,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,-
I49,s648464,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,-,-,-,+,-,-,-,-
I49,s135596,-,-,-,-,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-,+,+,-,-
I50,s8207432,+,+,+,+,+,-,+,-,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-
I50,s1971268,-,-,+,+,+,+,-,-,-,-,+,-,+,-,-,-,+,-,-,-,+,-,-
I50,s2996160,-,+,-,+,+,-,+,+,-,+,+,-,+,+,+,+,+,-,-,-,-,-,-
I50,s4750088,+,-,-,+,-,-,-,-,+,+,+,+,-,+,+,-,-,-,-,+,-,-,-
I51,s3521528,-,+,+,-,+,-,+,+,-,+,+,+,-,+,+,+,+,+,+,+,-,-,-
I51,s215974,-,-,-,-,-,+,+,-,+,-,-,+,-,+,+,+,-,+,-,-,+,+,-
I51,s4091390,-,+,+,+,+,+,-,-,+,+,-,+,+,-,+,+,+,+,+,+,+,+,-
I51,s411364,-,-,-,-,+,+,-,-,+,-,-,-,+,+,-,+,+,+,-,-,+,-,-
I52,s3474071,-,+,+,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,+,+,+
I52,s4796282,+,-,-,+,-,-,+,-,-,+,-,+,+,+,+,-,+,+,+,+,-,+,-
I52,s6375691,+,+,-,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,+,-,+,+
I52,s1554715,-,-,+,-,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,-,+,+
I54,s7617639,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+
I54,s6137852,+,-,+,+,+,-,+,+,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-
I54,s660083,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,+,-,-,+,+
I54,s872440,-,-,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-
I54,s6785305,+,+,-,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,+,-,-,+
I55,s5952565,+,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-,+,+,-,+,-,+
I55,s2375059,-,+,-,-,+,-,-,-,-,+,+,+,+,-,+,+,-,-,+,-,-,+,+
I55,s255102,-,-,-,-,-,+,+,+,+,+,-,-,+,-,-,-,+,+,+,+,+,+,-
I55,s3300132,-,+,+,-,-,+,-,-,+,-,+,+,-,+,+,-,-,+,-,-,+,-,-
I55,s5625127,+,-,+,-,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,+,+,+
I56,s2996785,-,+,-,+,+,-,+,+,-,+,+,+,-,+,-,-,-,+,+,-,-,-,+
I56,s6297493,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,-,-,+,-,+,-,+
I56,s3866178,-,+,+,+,-,+,-,+,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-
I56,s4179001,-,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,+
I56,s378064,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,+,+,-,+,-,-,-,-
I57,s7878122,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,+,-,+,-,+,-
I57,s8124546,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,+,-
I57,s2191713,-,+,-,-,-,-,+,-,+,+,+,-,-,-,+,-,+,+,-,-,-,-,+
I57,s1209809,-,-,+,-,-,+,-,-,+,+,+,-,+,-,+,+,+,-,+,-,-,-,+
I57,s6366918,+,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,+,-,-,-,+,+,-
I58,s8096950,+,+,+,+,-,+,+,+,-,-,-,+,+,-,-,+,-,+,+,-,+,+,-
I58,s3628085,-,+,+,-,+,+,+,-,+,-,+,+,+,-,-,-,-,+,+,-,+,-,+
I58,s42752,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-
I58,s7947033,+,+,+,+,-,-,+,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,+
I58,s7073177,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,-,+,+,-,-,+
I59,s2838523,-,+,-,+,-,+,+,-,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+
I59,s2594915,-,+,-,-,+,+,+,+,-,-,+,+,-,-,-,-,+,+,-,-,-,+,+
I59,s992610,-,-,-,+,+,+,+,-,-,+,-,-,+,-,+,-,+,+,-,-,-,+,-
I59,s2657185,-,+,-,+,-,-,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-,-,+
I59,s4478206,+,-,-,-,+,-,-,-,+,-,+,-,+,-,-,+,+,+,+,+,+,+,-
I60,s7595362,+,+,+,-,-,+,+,+,+,+,-,-,+,-,+,-,+,+,-,-,-,+,-
I60,s2252579,-,+,-,-,-,+,-,-,+,-,+,+,+,+,+,-,-,+,-,-,-,+,+
I60,s3152935,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,+
I60,s4385947,+,-,-,-,-,+,-,+,+,+,-,+,+,-,-,+,-,-,+,+,-,+,+
I60,s1449945,-,-,+,-,+,+,-,-,-,-,+,+,+,+,+,+,+,-,+,+,-,-,+
I61,s2784051,-,+,-,+,-,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,-,+,+
I61,s4923271,+,-,-,+,-,+,+,-,-,-,+,+,+,+,+,+,-,-,-,-,+,+,+
I61,s3538851,-,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,+,+
I61,s6612180,+,+,-,-,+,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,-
I61,s551661,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,+,+,+,-,+,+,-,+
I62,s6998232,+,+,-,+,-,+,-,+,+,-,-,+,-,-,-,+,+,-,+,+,-,-,-
I62,s1826397,-,-,+,+,-,+,+,+,+,-,+,+,+,+,-,-,+,-,+,+,+,-,+
I62,s4589923,+,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,+,+
I62,s1361945,-,-,+,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,+,+,-,-,+
I62,s3345228,-,+,+,-,-,+,+,-,-,-,-,+,-,+,+,-,+,-,-,+,+,-,-
I63,s3487904,-,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-,+,-,-,-,-,-
I63,s2653038,-,+,-,+,-,-,-,-,+,+,+,+,-,+,+,-,+,+,-,+,+,+,-
I63,s2115714,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,+,-
I63,s2148837,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,+,+,+,-,-,+,-,+
I63,s3407047,-,+,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,+
I64,s5219291,+,-,-,+,+,+,+,+,-,+,-,-,-,+,+,+,+,-,+,+,-,+,+
I64,s7720903,+,+,+,-,+,-,+,+,+,-,-,+,+,+,+,+,+,-,-,-,+,+,+
I64,s297877,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+
I64,s3920118,-,+,+,+,-,+,+,+,+,-,+,-,-,-,-,+,+,+,+,-,+,+,-
I64,s1747384,-,-,+,+,-,+,-,+,-,+,-,+,-,-,+,+,-,+,+,+,-,-,-
I65,s8271158,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,-,-,+,+,-,+,+,-
I65,s7741023,+,+,+,-,+,+,-,-,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+
I65,s2509369,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,+,+,+,-,-,+
I65,s7161023,+,+,-,+,+,-,+,-,+,-,-,-,+,-,-,+,-,+,+,+,+,+,+
I65,s6513781,+,+,-,-,-,+,+,-,+,+,-,-,+,-,-,-,+,+,+,-,+,-,+
I66,s7747079,+,+,+,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,-,-,+,+,+
I66,s4175861,-,+,+,+,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,-,+,-,+
I66,s7096980,+,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-
I66,s5286361,+,-,+,-,-,-,-,+,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+
I66,s2379433,-,+,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+,-,-,+
I67,s993277,-,-,-,+,+,+,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,+
I67,s3199575,-,+,+,-,-,-,-,+,+,-,+,-,-,+,-,-,+,-,+,-,+,+,+
I67,s5622723,+,-,+,-,+,-,+,+,+,-,-,+,-,+,+,+,+,-,-,-,-,+,+
I67,s3135951,-,+,-,+,+,+,+,+,+,-,+,+,-,-,+,+,+,-,-,+,+,+,+
I67,s2894641,-,+,-,+,+,-,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,-,+
I68,s6979614,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-
I68,s3213502,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,+,-,+,+,+,+,+,-
I68,s2318935,-,+,-,-,-,+,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+,+
I68,s739157,-,-,-,+,-,+,+,-,+,-,-,-,+,+,+,-,+,-,+,-,+,-,+
I68,s319819,-,-,-,-,+,-,-,+,+,+,-,-,-,-,+,-,+,-,-,+,-,+,+
I69,s5474043,+,-,+,-,-,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,-,+,+
I69,s3021807,-,+,-,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,-,+,+,+,+
I69,s7890250,+,+,+,+,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-
I69,s5876222,+,-,+,+,-,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,+,+,-
I69,s1312036,-,-,+,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,-,-
I70,s457580,-,-,-,-,+,+,-,+,+,+,+,+,-,+,+,-,+,+,-,+,+,-,-
