"SEGMENT","REPORT_DATE","SOURCE","INVENTORY_ID","LANGUAGE_CODE_ID","ALTERNATE_NAMES","ROOT","WALS_GENUS","AREA","syllabic","stress","long","consonantal","sonorant","continuant","delayed.release","approximant","tap","trill","nasal","voice","spread.gl","constr.gl","labial","round","labiodental","coronal","anterior","distributed","strident","lateral","dorsal","high","low","front","back","tense"
"b","2012-09-20 03:33:25","Chanard","I683","bzx","bozo","ncon","Western Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I674","bkv","bekwarra","ncon","Cross River","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1062","slu","Selaru","anes","Central Malayo-Polynesian","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I268","bzd","BRIBRI","chib","Talamanca","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1095","akl","Aklan","anes","Meso-Philippine","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1166","jbj","Arandai","trng","South Birds Head","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1528","ald","Alladian","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I644","yva","YAWA","geba","Yawa","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1174","sgz","Sursurunga","anes","Oceanic","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I494","nio","NGANASAN","urlc","Samoyedic","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
