"SEGMENT","ALTERNATE_NAMES","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"S1","I1","+","-","-","+","-","+","+","+","+","+","+","+","-","+","-","-","-","-","+","-","-","+","+","-","+","-","-","-","-"
"S2","I1","+","+","-","+","+","-","-","-","+","-","-","-","+","-","-","+","-","+","+","-","+","-","-","+","+","-","-","+","+"
"S3","I1","-","-","-","+","-","-","-","+","+","+","+","-","-","-","-","+","+","+","+","+","+","+","+","-","+","+","+","+","-"
"S1","I2","+","+","-","+","-","+","+","-","-","+","+","-","+","-","-","+","-","-","-","-","-","-","+","-","+","+","+","-","-"
"S2","I2","+","+","-","+","-","-","+","-","+","+","+","+","-","+","-","-","-","-","+","+","+","-","-","+","+","-","+","+","-"
"S3","I2","+","-","-","-","+","-","+","-","+","-","-","+","+","+","+","-","-","-","+","+","-","+","+","+","-","-","+","-","+"
"S1","I3","+","-","+","-","-","-","+","-","+","+","+","+","-","-","-","+","+","-","+","+","+","-","+","+","+","-","+","+","+"
"S2","I3","-","-","+","-","-","-","-","+","-","-","-","+","+","-","-","+","-","+","-","+","-","+","-","+","+","-","-","+","-"
"S3","I3","-","-","-","+","-","+","+","-","+","+","-","-","-","+","-","+","-","+","+","-","-","+","-","+","+","-","+","+","-"
"S1","I4","+","-","-","+","+","+","-","-","+","+","+","-","+","-","+","+","+","-","+","-","+","-","-","-","-","+","-","-","+"
"S2","I4","+","+","-","+","+","+","+","+","+","+","-","-","+","+","+","-","+","-","+","-","+","-","+","+","+","+","-","+","+"
"S3","I4","-","+","+","+","+","+","-","+","+","+","+","+","-","+","-","+","+","+","+","-","-","-","-","+","+","-","+","-","+"
"S1","I5","+","+","-","+","+","+","+","+","-","+","+","-","+","-","+","-","-","+","-","-","+","+","-","+","+","+","+","-","+"
"S2","I5","-","-","+","-","+","-","-","+","+","+","+","-","+","+","+","+","+","-","-","+","-","-","+","-","-","+","-","-","-"
"S3","I5","+","+","-","+","-","-","-","-","+","-","+","-","-","-","-","+","+","+","-","-","-","-","+","-","-","+","-","+","+"
"S1","I6","-","+","+","+","-","-","+","-","+","+","-","+","-","+","+","-","-","+","+","+","+","-","-","+","-","-","-","-","-"
"S2","I6","-","-","-","+","+","+","+","-","+","+","-","-","-","+","+","+","-","+","+","+","+","+","-","-","-","+","-","-","-"
"S3","I6","+","+","-","+","+","+","-","-","+","+","+","+","+","-","-","-","-","-","-","+","-","-","-","+","-","+","+","+","-"
"S1","I7","+","-","-","+","+","+","+","+","-","-","+","+","-","+","-","-","+","+","-","-","-","+","-","+","-","+","-","-","+"
"S2","I7","+","-","-","+","+","+","-","+","+","-","-","+","-","+","-","+","+","-","+","+","+","+","-","-","-","+","-","-","+"
"S3","I7","+","-","-","+","+","-","-","+","-","-","-","+","-","-","+","-","+","-","-","-","-","-","-","-","+","+","+","-","-"
"S1","I8","+","-","+","-","+","+","-","-","-","+","-","-","+","-","-","-","-","+","-","-","-","-","+","+","-","-","+","+","-"
"S2","I8","-","-","+","+","-","-","+","+","+","+","-","+","+","-","+","+","-","-","+","+","-","-","+","+","+","-","+","-","+"
"S3","I8","+","-","+","-","+","+","-","+","+","-","+","-","-","-","+","+","-","+","-","+","-","-","+","-","-","+","-","-","-"
"S1","I9","-","+","-","+","-","+","+","+","+","-","+","+","-","+","+","-","+","-","+","+","+","+","-","+","-","-","-","-","-"
"S2","I9","+","-","-","+","-","+","+","+","-","+","-","-","+","+","+","-","+","+","-","+","+","-","+","-","-","+","+","+","-"
"S3","I9","-","-","-","-","-","-","+","-","-","-","+","-","-","-","+","+","+","-","-","+","-","+","+","-","+","-","+","-","-"
"S1","I10","+","-","+","-","-","-","+","+","-","+","-","-","-","-","+","+","-","+","-","-","+","+","+","+","+","+","+","+","-"
"S2","I10","-","+","+","+","+","+","-","-","+","+","+","-","+","-","+","-","-","-","-","+","+","-","-","-","+","+","-","+","-"
"S3","I10","+","+","+","-","-","-","-","+","+","+","-","+","-","-","+","-","-","+","-","+","+","-","-","+","-","+","+","+","+"
"S1","I11","+","+","+","-","-","-","-","+","+","+","-","+","+","+","-","+","-","-","-","+","-","+","-","+","+","+","-","+","-"
"S2","I11","-","+","+","+","-","-","+","+","+","+","-","+","+","-","+","+","-","-","-","-","-","-","+","+","+","-","-","-","+"
"S3","I11","-","+","-","-","+","-","+","+","-","+","+","+","+","-","+","-","+","+","-","+","+","-","-","-","+","-","+","-","-"
"S1","I12","+","+","-","+","-","+","+","-","+","+","+","+","+","-","+","+","+","-","-","+","+","+","-","-","-","+","+","-","+"
"S2","I12","+","+","+","-","-","-","+","-","-","+","-","+","+","+","-","-","-","-","+","-","+","-","+","+","-","-","+","+","-"
"S3","I12","+","+","+","-","-","+","-","+","+","-","-","-","-","+","-","+","-","-","-","-","+","+","-","+","+","-","-","+","-"
"S1","I13","+","+","+","-","-","+","-","-","-","+","-","+","+","+","-","+","+","-","-","+","+","+","+","-","+","-","+","-","+"
"S2","I13","+","+","-","-","+","+","+","+","+","-","-","+","+","-","+","+","+","+","-","+","-","-","-","-","-","+","-","+","+"
"S3","I13","-","-","+","+","-","-","-","+","+","+","-","+","-","-","-","-","-","-","-","+","+","+","+","-","+","-","-","+","-"
"S1","I14","+","+","-","+","+","+","+","-","+","+","+","-","+","-","+","-","+","+","+","+","-","+","-","+","-","-","-","+","-"
"S2","I14","+","+","-","+","-","+","-","-","+","+","-","+","-","-","-","-","+","+","+","+","+","-","+","-","-","-","+","+","-"
"S3","I14","+","+","+","-","-","-","+","-","+","+","+","-","+","+","+","+","+","-","-","-","-","-","+","-","-","+","-","+","+"
"S1","I15","-","+","+","+","+","+","+","-","+","-","-","+","+","-","+","-","-","+","-","-","-","-","-","-","+","+","+","+","+"
"S2","I15","+","-","+","-","+","+","+","+","+","-","+","-","+","-","-","+","-","+","-","+","-","+","+","+","-","+","+","-","-"
"S3","I15","-","-","+","-","+","-","+","-","-","-","+","-","+","+","+","+","+","+","-","-","+","-","+","+","-","-","+","+","-"
"S1","I16","-","-","+","-","+","-","+","+","-","+","-","-","+","+","+","+","+","-","-","+","+","+","+","-","-","-","+","+","-"
"S2","I16","+","+","-","-","-","+","+","+","+","+","-","+","-","+","-","+","+","+","-","+","-","-","+","-","+","-","+","-","-"
"S3","I16","-","+","-","+","+","-","-","+","-","-","-","+","+","+","-","+","-","+","-","-","+","+","+","-","-","+","+","-","+"
"S1","I17","+","+","+","-","+","+","+","-","-","+","-","+","+","-","-","-","-","-","+","-","+","+","+","+","+","-","+","+","-"
"S2","I17","-","-","-","-","-","+","+","+","+","-","+","+","-","+","+","-","+","-","+","-","-","-","-","-","+","-","-","+","+"
"S3","I17","-","-","+","+","+","+","+","-","-","-","+","-","+","+","-","+","+","+","+","+","-","+","+","+","+","+","-","+","-"
"S1","I18","-","+","+","+","+","+","-","+","-","-","-","-","+","+","-","+","-","-","+","-","-","+","+","+","+","-","-","+","+"
"S2","I18","+","+","-","-","-","-","-","-","+","-","+","-","-","+","-","-","-","+","-","-","+","-","-","-","-","-","-","-","+"
"S3","I18","+","-","-","+","-","-","+","+","+","+","-","-","+","+","-","+","-","-","+","+","+","-","+","+","+","+","-","-","-"
"S1","I19","-","+","-","-","+","-","-","+","+","+","+","+","+","+","+","-","-","+","-","+","+","-","-","-","-","-","-","+","-"
"S2","I19","-","+","-","-","-","-","-","+","-","+","+","+","-","+","+","+","-","+","-","-","-","-","+","+","+","-","+","-","+"
"S3","I19","-","-","+","+","+","-","-","-","+","+","-","+","-","+","+","-","-","-","-","-","+","+","+","+","+","+","-","-","+"
"S1","I20","+","+","+","-","-","-","-","-","-","-","-","+","-","-","+","-","-","+","-","+","+","+","-","-","+","-","+","+","-"
"S2","I20","-","-","+","+","+","+","-","-","+","-","-","-","-","+","+","+","-","+","+","+","+","+","-","-","+","-","+","-","+"
"S3","I20","-","+","+","-","-","-","+","+","+","+","-","+","-","-","-","-","+","+","+","+","-","+","+","+","-","-","-","-","+"
"S1","I21","-","+","+","+","-","+","+","+","+","-","-","+","+","+","+","+","-","-","-","+","+","-","+","+","-","+","+","-","+"
"S2","I21","-","+","-","-","+","-","-","-","-","-","+","-","+","-","+","+","-","+","+","+","+","-","-","+","+","-","-","+","-"
"S3","I21","-","+","+","-","-","+","+","-","-","+","+","+","-","+","-","+","+","-","+","+","-","+","-","+","-","-","-","-","-"
"S1","I22","+","+","-","-","+","-","+","-","+","+","-","-","-","+","-","-","+","+","-","-","+","-","+","+","+","+","+","+","+"
"S2","I22","-","-","-","-","-","-","+","+","+","-","-","+","+","+","-","-","+","-","-","+","+","+","-","+","-","-","-","+","-"
"S3","I22","-","+","+","-","-","-","+","+","-","-","-","-","+","-","-","+","+","+","+","-","+","-","-","-","+","-","-","-","+"
"S1","I23","-","-","+","-","-","-","-","-","+","-","+","-","+","+","-","+","-","-","-","-","+","+","+","+","-","-","+","-","+"
"S2","I23","+","+","-","+","-","+","-","-","+","-","+","+","+","-","+","-","-","-","-","+","+","-","-","-","-","+","-","+","+"
"S3","I23","+","+","+","+","+","+","+","+","-","+","+","+","-","+","-","+","+","+","-","+","-","-","+","+","-","+","+","+","-"
"S1","I24","-","+","+","+","-","+","+","+","-","-","+","+","-","+","+","-","-","+","-","-","-","+","-","-","-","-","+","-","-"
"S2","I24","-","+","-","-","+","+","+","+","+","+","+","+","-","+","-","+","+","+","+","+","+","-","-","-","-","+","-","+","+"
"S3","I24","+","-","+","-","+","-","-","+","+","+","-","+","+","-","+","-","-","-","+","+","-","+","+","+","+","+","-","+","-"
"S1","I25","-","-","-","-","+","-","-","-","+","-","+","+","+","-","+","-","+","-","-","-","-","-","-","-","+","+","-","+","-"
"S2","I25","-","+","-","-","-","-","-","-","+","-","-","-","-","+","+","-","+","+","-","-","+","-","-","-","-","+","-","-","-"
"S3","I25","-","-","-","-","-","+","+","+","-","+","+","+","-","+","-","+","+","+","+","-","+","+","-","-","+","+","-","-","+"
"S4","I25","-","+","-","+","+","+","+","-","+","+","-","+","+","+","+","-","+","+","+","+","+","+","-","+","+","-","+","+","-"
"S1","I26","-","-","+","+","-","-","+","+","+","+","+","-","+","+","-","+","-","+","-","-","+","-","+","-","+","-","+","-","+"
"S2","I26","+","+","+","+","-","+","-","+","+","+","+","-","+","+","+","-","-","+","-","-","-","+","-","+","-","+","-","+","+"
"S3","I26","+","-","+","-","-","-","-","+","+","+","+","+","+","+","+","+","-","+","+","-","-","+","+","+","+","+","+","+","+"
"S4","I26","+","-","-","+","+","+","+","-","-","+","+","-","+","-","+","-","-","-","-","+","+","-","-","-","-","-","+","+","-"
"S1","I27","+","-","+","-","+","+","-","-","+","+","-","+","-","-","-","-","+","+","-","+","+","+","-","+","-","+","-","-","-"
"S2","I27","-","+","-","+","+","+","-","-","-","-","+","-","-","+","-","-","-","+","+","+","+","-","+","-","-","-","-","+","+"
"S3","I27","-","+","+","+","+","+","-","-","-","+","+","+","-","+","+","+","-","+","+","+","-","+","-","+","-","-","+","-","+"
"S4","I27","-","-","+","-","-","-","-","-","+","+","+","-","-","-","+","-","+","-","-","+","-","-","-","+","-","-","-","-","-"
"S1","I28","-","+","-","-","+","-","+","-","+","-","+","-","+","+","-","+","-","-","+","-","-","+","+","+","-","+","-","-","-"
"S2","I28","-","+","-","+","-","-","+","+","+","+","+","+","-","-","+","-","+","+","+","-","-","+","-","-","+","-","+","-","+"
"S3","I28","-","-","+","-","+","+","-","+","-","-","+","-","+","+","+","+","-","-","+","+","+","+","+","+","+","-","-","+","-"
"S4","I28","-","+","-","-","+","+","+","-","+","-","+","+","-","+","-","+","+","+","-","+","-","+","-","-","-","+","+","+","+"
"S1","I29","-","-","+","-","-","-","-","-","-","-","+","+","-","+","-","+","+","+","-","+","+","+","+","+","-","-","+","+","+"
"S2","I29","-","-","+","-","+","+","-","-","-","+","+","+","+","-","+","+","+","+","+","-","+","+","+","-","+","+","+","+","-"
"S3","I29","-","+","-","-","+","-","-","+","-","+","-","-","-","+","-","+","-","-","-","+","-","-","-","+","+","+","+","+","+"
"S4","I29","-","+","+","+","+","-","+","-","-","+","-","-","-","-","-","+","-","+","+","-","+","-","+","+","+","-","+","+","-"
"S1","I30","+","+","+","+","+","-","+","+","+","-","+","+","-","+","+","-","+","+","-","-","-","-","-","+","+","-","+","-","+"
"S2","I30","-","-","-","+","-","+","+","+","-","+","+","-","-","-","-","-","+","-","-","+","-","+","-","+","-","+","+","+","+"
"S3","I30","-","-","+","+","-","-","+","+","-","-","+","+","+","+","+","+","+","+","+","-","-","+","+","+","+","+","+","+","+"
"S4","I30","-","+","-","+","+","-","-","-","-","-","+","-","+","+","-","-","+","+","+","+","-","+","+","+","-","+","+","-","-"
"S1","I31","-","+","+","-","-","+","+","-","+","-","+","+","-","-","-","-","-","+","+","+","-","-","-","-","-","+","+","-","-"
"S2","I31","-","+","+","-","-","-","+","-","+","+","-","+","+","-","+","+","-","+","+","+","-","+","+","+","-","+","+","+","-"
"S3","I31","-","-","-","-","-","+","+","+","+","-","-","+","-","-","-","-","+","-","-","-","-","-","+","-","+","-","+","+","+"
"S4","I31","+","-","-","+","+","+","+","+","+","-","-","-","-","-","+","-","-","-","+","+","+","-","+","+","-","-","-","-","-"
"S1","I32","+","-","-","-","-","+","-","+","+","+","+","+","-","-","+","+","-","-","-","+","-","+","-","+","+","-","-","-","-"
"S2","I32","+","+","-","+","+","+","-","-","+","+","-","+","-","-","+","-","-","+","-","+","+","+","-","-","+","+","-","-","-"
"S3","I32","-","-","+","-","-","-","+","-","-","+","+","+","+","+","+","+","-","-","-","-","+","-","-","-","+","+","+","+","-"
"S4","I32","+","-","+","-","-","-","-","-","+","-","-","-","-","-","+","-","+","+","-","+","-","-","+","+","-","+","+","+","-"
"S1","I33","+","+","+","+","+","+","+","-","+","-","+","-","+","-","+","-","-","+","+","-","-","+","-","-","-","+","-","+","+"
"S2","I33","+","+","+","+","+","+","+","+","-","+","+","-","+","-","-","-","+","-","+","-","+","+","+","-","+","-","+","+","-"
"S3","I33","-","+","-","+","-","-","-","+","+","+","-","-","-","+","-","-","+","+","+","+","-","-","-","-","-","+","+","-","+"
"S4","I33","-","+","+","+","+","+","+","+","+","+","+","-","-","+","-","-","-","-","-","-","-","+","+","+","+","-","+","-","-"
"S1","I34","-","-","-","-","+","-","+","+","+","-","+","-","+","-","+","-","+","-","+","+","-","-","-","-","-","+","+","-","+"
"S2","I34","-","-","-","-","+","-","+","+","+","-","+","+","-","+","+","-","-","-","+","-","+","+","-","-","-","-","-","-","+"
"S3","I34","-","+","+","-","+","-","-","-","+","-","-","+","+","-","+","+","-","-","-","-","-","-","+","+","-","+","-","-","+"
"S4","I34","+","-","-","-","+","-","+","-","+","+","-","-","+","-","-","-","+","-","+","+","-","-","+","-","+","+","-","+","-"
"S1","I35","+","-","+","+","-","+","-","-","-","-","-","-","-","+","+","-","+","+","-","+","+","+","-","+","+","+","+","-","+"
"S2","I35","-","-","-","+","+","-","-","+","+","-","-","+","-","+","-","-","-","-","-","+","+","+","-","+","+","+","+","-","-"
"S3","I35","+","+","+","+","+","-","+","+","-","-","+","+","-","+","+","-","+","-","+","-","+","+","-","-","+","-","-","-","-"
"S4","I35","+","+","+","+","-","+","-","+","-","-","-","-","-","+","-","-","-","-","-","+","-","+","+","+","-","-","+","-","-"
"S1","I36","-","-","+","-","+","+","+","+","-","-","+","+","-","+","-","-","+","+","+","+","-","+","-","+","-","+","-","-","+"
"S2","I36","-","-","+","-","-","-","+","+","-","+","-","-","-","-","-","-","-","-","+","-","+","-","-","-","+","-","-","+","+"
"S3","I36","-","-","+","-","+","-","+","+","+","+","-","+","+","+","+","-","+","-","+","-","-","+","-","-","+","-","+","+","-"
"S4","I36","+","+","+","-","+","+","-","-","-","-","+","-","+","+","+","-","-","+","+","+","-","-","-","+","+","+","-","+","-"
"S1","I37","-","-","-","+","+","-","+","-","+","+","-","+","-","-","+","+","+","-","+","+","+","+","+","+","-","+","+","+","+"
"S2","I37","+","-","-","-","+","-","-","-","+","-","+","+","-","-","-","+","-","+","+","-","-","-","+","+","+","-","+","-","+"
"S3","I37","-","-","+","-","+","-","+","-","+","-","-","-","+","-","-","+","-","+","-","+","+","+","-","-","+","+","-","-","-"
"S4","I37","-","-","+","-","-","-","+","+","+","+","-","-","-","+","-","-","+","-","-","-","+","-","+","-","+","+","+","-","+"
"S1","I38","-","-","+","+","+","+","+","+","-","-","+","-","-","-","-","+","+","+","+","-","-","-","-","-","-","+","+","-","+"
"S2","I38","-","-","-","+","-","+","-","-","+","+","+","+","-","+","-","-","+","+","+","-","+","-","+","-","+","+","+","-","-"
"S3","I38","+","-","-","-","-","-","+","-","-","-","+","-","-","-","-","+","+","-","-","+","+","+","-","-","-","-","-","-","+"
"S4","I38","+","+","+","+","-","+","+","-","-","-","+","+","+","-","+","-","+","-","-","-","+","-","-","-","-","-","-","+","-"
"S1","I39","+","+","+","-","+","-","+","+","+","-","+","+","+","-","-","+","-","+","+","-","+","+","+","-","-","+","+","-","+"
