,Language_Name,Num_Segments,Sum_Balance,Num_Contrastive_Features,Order_Name,Sum_Balance_1,Sum_Balance_2,Sum_Balance_3,Sum_Balance_4,Sum_Balance_5,Sum_Balance_6,Sum_Balance_7,Sum_Balance_8,Sum_Balance_9,Sum_Balance_10,Sum_Balance_11,Sum_Balance_12,Sum_Balance_13,Sum_Balance_14,Sum_Balance_15,Sum_Balance_16,Sum_Balance_17,Sum_Balance_18,Sum_Balance_19,Sum_Balance_20,Sum_Balance_21,Sum_Balance_22,Sum_Balance_23,Sum_Balance_24,Sum_Balance_25,Sum_Balance_26,Sum_Balance_27,Sum_Balance_28,Sum_Balance_29,Feature_Depth_1,Feature_Depth_2,Feature_Depth_3,Feature_Depth_4,Feature_Depth_5,Feature_Depth_6,Feature_Depth_7,Feature_Depth_8,Feature_Depth_9,Feature_Depth_10,Feature_Depth_11,Feature_Depth_12,Feature_Depth_13,Feature_Depth_14,Feature_Depth_15,Feature_Depth_16,Feature_Depth_17,Feature_Depth_18,Feature_Depth_19,Feature_Depth_20,Feature_Depth_21,Feature_Depth_22,Feature_Depth_23,Feature_Depth_24,Feature_Depth_25,Feature_Depth_26,Feature_Depth_27,Feature_Depth_28,Feature_Depth_29,Subinventory_Size_1,Subinventory_Size_2,Subinventory_Size_3,Subinventory_Size_4,Subinventory_Size_5,Subinventory_Size_6,Subinventory_Size_7,Subinventory_Size_8,Subinventory_Size_9,Subinventory_Size_10,Subinventory_Size_11,Subinventory_Size_12,Subinventory_Size_13,Subinventory_Size_14,Subinventory_Size_15,Subinventory_Size_16,Subinventory_Size_17,Subinventory_Size_18,Subinventory_Size_19,Subinventory_Size_20,Subinventory_Size_21,Subinventory_Size_22,Subinventory_Size_23,Subinventory_Size_24,Subinventory_Size_25,Subinventory_Size_26,Subinventory_Size_27,Subinventory_Size_28,Subinventory_Size_29,Sum_Balance_By_Feature_Height1,Sum_Balance_By_Feature_Height2,Sum_Balance_By_Feature_Height29,Sum_Balance_By_Feature_Height28,Sum_Balance_By_Feature_Height8,Sum_Balance_By_Feature_Height16,Sum_Balance_By_Feature_Height10,Sum_Balance_By_Feature_Height14,Sum_Balance_By_Feature_Height20,Sum_Balance_By_Feature_Height12,Sum_Balance_By_Feature_Height7,Sum_Balance_By_Feature_Height21,Sum_Balance_By_Feature_Height13,Sum_Balance_By_Feature_Height5,Sum_Balance_By_Feature_Height26,Sum_Balance_By_Feature_Height6,Sum_Balance_By_Feature_Height11,Sum_Balance_By_Feature_Height25,Sum_Balance_By_Feature_Height4,Sum_Balance_By_Feature_Height22,Sum_Balance_By_Feature_Height15,Sum_Balance_By_Feature_Height3,Sum_Balance_By_Feature_Height27,Sum_Balance_By_Feature_Height18,Sum_Balance_By_Feature_Height24,Sum_Balance_By_Feature_Height17,Sum_Balance_By_Feature_Height19,Sum_Balance_By_Feature_Height23,Sum_Balance_By_Feature_Height9
0,I1,3,1,2,O1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I1,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,I1,3,1,2,O3,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,I1,3,1,2,O4,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
4,I1,3,1,2,O5,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
5,I1,3,1,2,O6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
6,I1,3,1,2,O7,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
7,I1,3,1,2,O8,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,
8,I1,3,1,2,O9,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,
9,I1,3,1,2,O10,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
10,I2,3,1,2,O1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11,I2,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,I2,3,1,2,O3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,
13,I2,3,1,2,O4,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
14,I2,3,1,2,O5,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,
15,I2,3,1,2,O6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,
16,I2,3,1,2,O7,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,
17,I2,3,1,2,O8,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,
18,I2,3,1,2,O9,,,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,
19,I2,3,1,2,O10,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,
20,I3,3,1,2,O1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
21,I3,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
22,I3,3,1,2,O3,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
23,I3,3,1,2,O4,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
24,I3,3,1,2,O5,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
25,I3,3,1,2,O6,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,
26,I3,3,1,2,O7,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,
27,I3,3,1,2,O8,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,
28,I3,3,1,2,O9,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,
29,I3,3,1,2,O10,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
