label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round,freq
m,+,+,-,-,0,0,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,521
k,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,496
j,-,-,-,+,0,0,0,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-,468
n,+,-,-,-,0,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,465
p,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,447
s,+,-,-,-,0,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,434
w,+,+,+,+,0,0,0,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-,415
t,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,415
l,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,413
b,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,393
ɡ,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,362
h,-,-,-,-,0,0,0,-,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,348
d,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,320
r,+,-,-,-,0,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,+,-,305
ŋ,-,-,+,+,0,0,0,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,288
f,+,+,-,-,0,0,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,-,261
tʃ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,219
ʃ,-,-,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,-,-,213
ɲ,-,-,-,+,0,0,0,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,197
ʔ,-,-,-,-,0,0,0,-,+,+,-,-,-,+,-,0,+,-,-,-,-,-,-,188
z,+,-,-,-,0,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,+,-,185
v,+,+,-,-,0,0,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,-,182
dʒ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,147
ts,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,125
x,-,-,+,+,0,0,0,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,109
t̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,109
ɾ,+,-,-,-,0,-,-,-,-,-,-,-,-,+,+,0,-,+,-,-,+,+,-,90
ʒ,-,-,-,+,0,-,+,-,-,-,-,+,-,-,+,0,-,-,+,-,+,+,-,90
c,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,87
d̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,87
kʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,83
ɣ,-,-,+,+,0,0,0,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,75
pʰ,+,+,-,-,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,75
kʰ,-,-,+,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,72
n̪,+,-,-,-,0,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,71
ɟ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,69
tʰ,+,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,65
dz,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,60
kʼ,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,59
ʈ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,55
ɓ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,53
k͡p,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,52
ᵐb,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,52
ɖ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,52
ɡ͡b,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,51
pʼ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,50
ɬ,+,-,-,-,0,+,0,-,-,-,-,+,-,-,+,0,-,-,-,-,+,-,-,50
ɳ,-,-,-,-,0,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,49
ᵑɡ,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,48
q,-,-,+,-,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,47
ⁿd,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,47
ɡʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,45
ɗ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,+,-,-,-,+,+,-,45
