"SEGMENT","REPORT_DATE","SOURCE","INVENTORY_ID","LANGUAGE_CODE_ID","ALTERNATE_NAMES","ROOT","WALS_GENUS","AREA","syllabic","stress","long","consonantal","sonorant","continuant","delayed.release","approximant","tap","trill","nasal","voice","spread.gl","constr.gl","labial","round","labiodental","coronal","anterior","distributed","strident","lateral","dorsal","high","low","front","back","tense"
"a","2012-09-20 03:33:25","PHOIBLE","I1016","spo","Spokan","sali","Interior Salish","America","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I1079","tzo","Tzotzil, Chamula","maya","Mayan","America","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","Chanard","I768","lin","lingala","ncon","Bantoid","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I988","xmt","Matbat","anes","Central Malayo-Polynesian","Asia","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","UPSID","I320","etu","EJAGHAM","ncon","Bantoid","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I868","kxl","Dhangar","drav","Northern Dravidian","Asia","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I890","lyn","Louyi","ncon","Bantoid","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I1180","bkh","Bakoko","ncon","Bantoid","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","UPSID","I474","mwf","MURINHPATHA","aust","Murrinh-Patha","Pacific","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","UPSID","I312","dta","DAGUR","altc","Mongolic","Asia","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I914","kme","Kole","ncon","Bantoid","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I1061","nxl","Southern Nuautl","anes","Central Malayo-Polynesian","Asia","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","UPSID","I526","rgr","RESIGARO","arwk","Arawakan","America","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","SPA","I33","btx","Batak","anes","Sumatra","Asia","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","Chanard","I702","igb","ebira","ncon","Nupoid","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I903","kms","Kamasau","torr","Marienberg","Pacific","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","Chanard","I829","kdh","tem","ncon","Gur","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I1039","bjz","Baruga","trng","Binanderean","Pacific","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","UPSID","I201","aer","ARRERNTE","aust","Pama-Nyungan","Pacific","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I1107","coo","Comox","sali","Central Salish","America","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
"a","2012-09-20 03:33:25","PHOIBLE","I1541","awn","Awngi","afas","Central Cushitic","Africa","+","-","-","-","+","+","0","+","-","-","-","+","-","-","-","-","-","-","0","0","0","-","+","-","+","-","-","0"
