"Language_Name","Contrastive_Order_Id","Num_Contrastive_Features","Entropy","Num_Segments","Average_Path_Length","Sum_Balance","Worst_Average_Path_Length","Worst_Sum_Balance","Language_Norm_Sum_Balance","Language_Norm_Average_Path_Length"
"Abau","O1",7,2.63905732961526,14,4,12,13,78,0.311538461538462,0.353296703296703
"Abau","O2",9,2.63905732961526,14,4.5,21,13,78,0.311538461538462,0.353296703296703
"Abau","O3",8,2.63905732961526,14,4.14285714285714,16,13,78,0.311538461538462,0.353296703296703
"Abau","O4",9,2.63905732961526,14,5.28571428571429,36,13,78,0.311538461538462,0.353296703296703
"Abau","O5",10,2.63905732961526,14,5.07142857142857,35,13,78,0.311538461538462,0.353296703296703
"Abau","O6",9,2.63905732961526,14,4.28571428571429,18,13,78,0.311538461538462,0.353296703296703
"Abau","O7",9,2.63905732961526,14,4.28571428571429,20,13,78,0.311538461538462,0.353296703296703
"Abau","O8",9,2.63905732961526,14,4.85714285714286,32,13,78,0.311538461538462,0.353296703296703
"Abau","O9",10,2.63905732961526,14,5,30,13,78,0.311538461538462,0.353296703296703
"Abau","O10",10,2.63905732961526,14,4.5,23,13,78,0.311538461538462,0.353296703296703
"Aklan","O1",10,2.99573227355399,20,5.25,43,19,171,0.301754385964912,0.298421052631579
"Aklan","O2",14,2.99573227355399,20,5.95,59,19,171,0.301754385964912,0.298421052631579
"Aklan","O3",12,2.99573227355399,20,4.9,34,19,171,0.301754385964912,0.298421052631579
"Aklan","O4",12,2.99573227355399,20,6.65,73,19,171,0.301754385964912,0.298421052631579
"Aklan","O5",10,2.99573227355399,20,5.3,44,19,171,0.301754385964912,0.298421052631579
"Aklan","O6",12,2.99573227355399,20,5.5,44,19,171,0.301754385964912,0.298421052631579
"Aklan","O7",12,2.99573227355399,20,5.35,41,19,171,0.301754385964912,0.298421052631579
"Aklan","O8",12,2.99573227355399,20,5.5,50,19,171,0.301754385964912,0.298421052631579
"Aklan","O9",14,2.99573227355399,20,7.2,90,19,171,0.301754385964912,0.298421052631579
"Aklan","O10",12,2.99573227355399,20,5.1,38,19,171,0.301754385964912,0.298421052631579
"Amanab","O1",9,2.94443897916644,19,4.78947368421053,31,18,153,0.286928104575163,0.302046783625731
"Amanab","O2",11,2.94443897916644,19,5.31578947368421,43,18,153,0.286928104575163,0.302046783625731
"Amanab","O3",11,2.94443897916644,19,4.57894736842105,23,18,153,0.286928104575163,0.302046783625731
"Amanab","O4",11,2.94443897916644,19,6.68421052631579,73,18,153,0.286928104575163,0.302046783625731
"Amanab","O5",10,2.94443897916644,19,5.15789473684211,40,18,153,0.286928104575163,0.302046783625731
"Amanab","O6",11,2.94443897916644,19,4.89473684210526,29,18,153,0.286928104575163,0.302046783625731
"Amanab","O7",11,2.94443897916644,19,5.36842105263158,40,18,153,0.286928104575163,0.302046783625731
"Amanab","O8",11,2.94443897916644,19,6.05263157894737,59,18,153,0.286928104575163,0.302046783625731
"Amanab","O9",13,2.94443897916644,19,6.68421052631579,71,18,153,0.286928104575163,0.302046783625731
"Amanab","O10",11,2.94443897916644,19,4.84210526315789,30,18,153,0.286928104575163,0.302046783625731
"Arandai","O1",9,2.89037175789616,18,4.66666666666667,28,17,136,0.263970588235294,0.300980392156863
"Arandai","O2",11,2.89037175789616,18,5.83333333333333,53,17,136,0.263970588235294,0.300980392156863
"Arandai","O3",9,2.89037175789616,18,4.72222222222222,29,17,136,0.263970588235294,0.300980392156863
"Arandai","O4",10,2.89037175789616,18,5.27777777777778,37,17,136,0.263970588235294,0.300980392156863
"Arandai","O5",10,2.89037175789616,18,5.44444444444444,42,17,136,0.263970588235294,0.300980392156863
"Arandai","O6",10,2.89037175789616,18,4.44444444444444,16,17,136,0.263970588235294,0.300980392156863
"Arandai","O7",11,2.89037175789616,18,4.72222222222222,25,17,136,0.263970588235294,0.300980392156863
"Arandai","O8",11,2.89037175789616,18,5.72222222222222,51,17,136,0.263970588235294,0.300980392156863
"Arandai","O9",11,2.89037175789616,18,5.22222222222222,40,17,136,0.263970588235294,0.300980392156863
"Arandai","O10",11,2.89037175789616,18,5.11111111111111,38,17,136,0.263970588235294,0.300980392156863
"BISA","O1",12,3.17805383034795,24,5.29166666666667,41,23,253,0.245059288537549,0.260507246376812
"BISA","O2",13,3.17805383034795,24,6.91666666666667,92,23,253,0.245059288537549,0.260507246376812
"BISA","O3",13,3.17805383034795,24,4.875,27,23,253,0.245059288537549,0.260507246376812
"BISA","O4",13,3.17805383034795,24,6.45833333333333,75,23,253,0.245059288537549,0.260507246376812
"BISA","O5",12,3.17805383034795,24,5.33333333333333,44,23,253,0.245059288537549,0.260507246376812
"BISA","O6",13,3.17805383034795,24,5.75,52,23,253,0.245059288537549,0.260507246376812
"BISA","O7",13,3.17805383034795,24,5.79166666666667,53,23,253,0.245059288537549,0.260507246376812
"BISA","O8",15,3.17805383034795,24,7.08333333333333,98,23,253,0.245059288537549,0.260507246376812
"BISA","O9",14,3.17805383034795,24,7.375,103,23,253,0.245059288537549,0.260507246376812
"BISA","O10",13,3.17805383034795,24,5.04166666666667,35,23,253,0.245059288537549,0.260507246376812
"BODO","O1",11,3.04452243772342,21,5.04761904761905,36,20,190,0.27,0.282142857142857
"BODO","O2",13,3.04452243772342,21,6.19047619047619,68,20,190,0.27,0.282142857142857
"BODO","O3",12,3.04452243772342,21,4.95238095238095,34,20,190,0.27,0.282142857142857
"BODO","O4",12,3.04452243772342,21,6.38095238095238,72,20,190,0.27,0.282142857142857
"BODO","O5",13,3.04452243772342,21,6.14285714285714,65,20,190,0.27,0.282142857142857
"BODO","O6",12,3.04452243772342,21,5.47619047619048,43,20,190,0.27,0.282142857142857
"BODO","O7",13,3.04452243772342,21,4.95238095238095,30,20,190,0.27,0.282142857142857
"BODO","O8",13,3.04452243772342,21,5.42857142857143,46,20,190,0.27,0.282142857142857
"BODO","O9",14,3.04452243772342,21,6.52380952380952,75,20,190,0.27,0.282142857142857
"BODO","O10",13,3.04452243772342,21,5.33333333333333,44,20,190,0.27,0.282142857142857
"BURARRA","O1",12,3.04452243772342,21,5.28571428571429,45,20,190,0.247894736842105,0.275952380952381
"BURARRA","O2",11,3.04452243772342,21,6.23809523809524,69,20,190,0.247894736842105,0.275952380952381
"BURARRA","O3",11,3.04452243772342,21,4.71428571428571,19,20,190,0.247894736842105,0.275952380952381
"BURARRA","O4",12,3.04452243772342,21,5.71428571428571,54,20,190,0.247894736842105,0.275952380952381
"BURARRA","O5",11,3.04452243772342,21,5.76190476190476,57,20,190,0.247894736842105,0.275952380952381
"BURARRA","O6",11,3.04452243772342,21,5.52380952380952,42,20,190,0.247894736842105,0.275952380952381
"BURARRA","O7",13,3.04452243772342,21,5,35,20,190,0.247894736842105,0.275952380952381
"BURARRA","O8",12,3.04452243772342,21,5.52380952380952,46,20,190,0.247894736842105,0.275952380952381
"BURARRA","O9",12,3.04452243772342,21,6.52380952380952,75,20,190,0.247894736842105,0.275952380952381
"BURARRA","O10",13,3.04452243772342,21,4.90476190476191,29,20,190,0.247894736842105,0.275952380952381
"Bariai","O1",9,2.83321334405622,17,4.47058823529412,20,16,120,0.294166666666667,0.322426470588235
"Bariai","O2",9,2.83321334405622,17,5.47058823529412,45,16,120,0.294166666666667,0.322426470588235
"Bariai","O3",9,2.83321334405622,17,4.35294117647059,18,16,120,0.294166666666667,0.322426470588235
"Bariai","O4",10,2.83321334405622,17,5.76470588235294,50,16,120,0.294166666666667,0.322426470588235
"Bariai","O5",10,2.83321334405622,17,4.76470588235294,27,16,120,0.294166666666667,0.322426470588235
"Bariai","O6",9,2.83321334405622,17,4.94117647058824,28,16,120,0.294166666666667,0.322426470588235
"Bariai","O7",11,2.83321334405622,17,5.05882352941176,30,16,120,0.294166666666667,0.322426470588235
"Bariai","O8",11,2.83321334405622,17,5.52941176470588,44,16,120,0.294166666666667,0.322426470588235
"Bariai","O9",10,2.83321334405622,17,6.47058823529412,62,16,120,0.294166666666667,0.322426470588235
"Bariai","O10",11,2.83321334405622,17,4.76470588235294,29,16,120,0.294166666666667,0.322426470588235
"DIOLA","O1",13,3.36729582998647,29,5.48275862068965,51,28,378,0.224338624338624,0.231773399014778
"DIOLA","O2",15,3.36729582998647,29,6.72413793103448,103,28,378,0.224338624338624,0.231773399014778
"DIOLA","O3",15,3.36729582998647,29,5.3448275862069,41,28,378,0.224338624338624,0.231773399014778
"DIOLA","O4",15,3.36729582998647,29,7.06896551724138,105,28,378,0.224338624338624,0.231773399014778
"DIOLA","O5",14,3.36729582998647,29,6.86206896551724,99,28,378,0.224338624338624,0.231773399014778
"DIOLA","O6",15,3.36729582998647,29,6.55172413793103,84,28,378,0.224338624338624,0.231773399014778
"DIOLA","O7",15,3.36729582998647,29,5.41379310344828,43,28,378,0.224338624338624,0.231773399014778
"DIOLA","O8",16,3.36729582998647,29,7.20689655172414,115,28,378,0.224338624338624,0.231773399014778
"DIOLA","O9",16,3.36729582998647,29,8.62068965517241,158,28,378,0.224338624338624,0.231773399014778
